FIELD,PARENTID,PERMISSIONSEDIT,PERMISSIONSREAD,SOBJECTTYPE
EM_Attendee_vod__c.Title_Formula_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.City_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.State_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Zip_Code_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Country_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Phone_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Email_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Specialty_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Customer_Master_ID_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Can_Generate_Contract__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.ESVisible_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Country_ref_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Last_Modified_By_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Created_By_HCTPS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Entity_Reference_Id_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Furigana_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Online_Registration_Status_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Override_Lock_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Attendee_vod__c
EM_Budget_vod__c.Actual_Expenses_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Actual_Remaining_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Budget_Identifier_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Child_Budget_Allocation_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Committed_Expenses_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Committed_Remaining_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.End_Date_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Estimated_Expenses_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Estimated_Remaining_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Parent_Budget_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Product_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Start_Date_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Status_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Total_Budget_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Approval_Status_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Approving_User_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Processor_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Reviewing_User_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Therapeutic_Area_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Promotional_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Estimated_Number_of_Activities_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Description_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Initiating_BU_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Is_Joint_Venture_Activity_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Joint_Venture_Detail_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Copayment_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.WBS_Number_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Cost_Center_Code_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Activity_Type_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Regulatory_Reviwer_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Currency_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Version_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Need_ID_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Funding_Country_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Activity_Country_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Congress_Name_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Congress_Address_Line_1__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Congress_Address_Line_2_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Congress_City_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Congress_State_Province_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Congress_Postal_Code_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Topic_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Scope_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Participant_Count_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Company_Code_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Fields_For_Approval_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Fields_For_Approval_1_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Activity_Format_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Need_Owner_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Delegate_Sharing_rights_to_Processor__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Company_Code_Currency_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Last_Modified_By_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Budget_vod__c.Created_By_HCTPS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Budget_vod__c
EM_Event_Action_vod__c.Allow_Comments_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Action_vod__c
EM_Event_Action_vod__c.Country_Override_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Action_vod__c
EM_Event_Action_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Action_vod__c
EM_Event_Action_vod__c.Starting_Status_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Action_vod__c
EM_Event_Action_vod__c.Approver_Role_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Action_vod__c
EM_Event_Action_vod__c.Entry_Criteria_Not_Met_Message_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Action_vod__c
EM_Event_Action_vod__c.SFDC_Action_Type_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Action_vod__c
EM_Event_Budget_vod__c.Is_Need__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Actual_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Budget_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Committed_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Estimate_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Estimated_Remaining_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Event_Canceled_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Event_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Budget_Name_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Mobile_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Last_Modified_By_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Created_By_HCTPS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Waiting_for_Expense_Estimate_Inheritance__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Failure_Inheriting_Expense_Estimates__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Budget_vod__c.Override_Lock_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Budget_vod__c
EM_Event_Configuration_Country_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Configuration_Country_vod__c
EM_Event_Configuration_Country_vod__c.Country_Formula_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Configuration_Country_vod__c
EM_Event_Configuration_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Configuration_vod__c
EM_Event_History_vod__c.Action_Datetime_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Action_Type_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Comment_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Ending_Status_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Event_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Next_Approver_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Starting_Status_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.User_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Next_Approver_Group_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Next_Approver_Role_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Product_TA_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Activity_ID_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Start_Date_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.End_Time_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Project_Owner_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Activity_Name_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Processor_Email_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Event_Creator_Email_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Parent_Activity_ID_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Action_Date_HCTPS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_History_vod__c
EM_Event_History_vod__c.Override_Lock_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_History_vod__c
EM_Event_Layout_vod__c.Country_Override_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Event_Configuration_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Event_Layout_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Event_Status_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Event_Team_Role_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Expense_Estimate_Layout_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Expense_Header_Layout_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Expense_Line_Layout_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.External_ID__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.User_Profile_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.Visible_Buttons_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Layout_vod__c.User_Profile_Id_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Layout_vod__c
EM_Event_Session_Attendee_vod__c.Attendee_Name_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.Attendee_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.Event_Session_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.Speaker_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.Team_Member_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.Mobile_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_Attendee_vod__c.Override_Lock_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_Attendee_vod__c
EM_Event_Session_vod__c.End_Time_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Session_vod__c.Event_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Session_vod__c.External_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Session_vod__c.Location_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Session_vod__c.Start_Time_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Session_vod__c.Mobile_ID_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Session_vod__c.Override_Lock_vod__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Session_vod__c
EM_Event_Speaker_vod__c.Credentials_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.First_Name_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Last_Name_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Title_vod__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Activity_Service_Type_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Preferred_Language_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Contract_Party_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.AATemplateID_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.ContractTemplateId_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.ContractTemplateId_to_Download_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Contract_Lead_Time_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.FWTemplateId_For_Download_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.FWTemplateId_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Provider_Type_HCPTS__c,0PS3E0000000FeyWAE,TRUE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.View_Online_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
EM_Event_Speaker_vod__c.Employer_Consent_Status_HCPTS__c,0PS3E0000000FeyWAE,FALSE,TRUE,EM_Event_Speaker_vod__c
