"ID","SPARENTID","PARENTID","SOBJECTTYPE","FIELD","PERMISSIONSEDIT","PERMISSIONSREAD","STATUS"
"01k5E000008PVz5QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Include_in_Territory_Assignment_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW02QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Mobile_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVxtQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Inactive_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVzjQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Lock_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW07QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Country_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0CQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Brick_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVyqQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.ASSMCA_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0HQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.DEA_Address_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVyXQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.DEA_Schedule_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0MQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.DEA_Status_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVzUQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Entity_Reference_Id_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0RQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Controlling_Address_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVyYQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Controlled_Address_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0WQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.No_Address_Copy_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVyRQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Office_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW0bQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Allow_Luncheon_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW0NQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Flagged_for_Delete_On_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW0gQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Sample_Send_Status_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0lQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.ADDRESS_LINE_3_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PVzZQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Address_Source_Country_BMS_CORE__c","TRUE","TRUE","Item Created"
"01k5E000008PW0DQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Address_Status_BMS_CORE__c","TRUE","TRUE","Item Created"
"01k5E000008PW0qQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Address_Type_BMS_CORE__c","TRUE","TRUE","Item Created"
"01k5E000008PW0vQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Contact_Name_BMS_CA__c","TRUE","TRUE","Item Created"
"01k5E000008PVymQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Contact_Title_BMS_CA__c","TRUE","TRUE","Item Created"
"01k5E000008PW10QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Form_Expiration_Date_BMS_SHARED__c","TRUE","TRUE","Item Created"
"01k5E000008PW11QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Form_Flag_BMS_SHARED__c","TRUE","TRUE","Item Created"
"01k5E000008PW15QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Sample_Authorization_Cert_BMS_SHARED__c","TRUE","TRUE","Item Created"
"01k5E000008PW1AQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Sample_Ineligible_BMS_SHARED__c","TRUE","TRUE","Item Created"
"01k5E000008PW1FQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Sample_Status_Reason_BMS_SHARED__c","TRUE","TRUE","Item Created"
"01k5E000008PW0OQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Are_25_of_your_patients_adults_BMS_US__c","TRUE","TRUE","Item Created"
"01k5E000008PW0rQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Do_you_accept_samples_BMS_US__c","TRUE","TRUE","Item Created"
"01k5E000008PW1KQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Do_you_have_infusion_capabil_BMS_US__c","TRUE","TRUE","Item Created"
"01k5E000008PW1PQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.CDS_Expiration_Date_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0wQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.CDS_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0hQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.License_Expiration_Date_BMS_SHARED__c","TRUE","TRUE","Item Created"
"01k5E000008PW1UQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Eligibility_Questions_Updated_Date_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW1ZQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Mini_Brick_BMS_EMEA__c","TRUE","TRUE","Item Created"
"01k5E000008PW1eQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Customer_Master_Status_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1jQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Network_Sample_Eligibility_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1oQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Network_ASSMCA_Entity_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW0xQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Network_CDS_Entity_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1tQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Network_DEA_Entity_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1yQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Network_License_Entity_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVxyQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Address_Visit_Pressure_BMS_EMEA__c","TRUE","TRUE","Item Created"
"01k5E000008PW1pQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Address_vod__c","Address_vod__c.Master_Align_Id_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVyrQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.BMS_Code_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW23QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.CCV_Code_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW28QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.Country_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PVzkQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.Description_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW1zQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.Language_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PVzVQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.Short_Label_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW2DQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Title_BMS_EMEA__c","Title_BMS_EMEA__c.External_ID_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW2IQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Attendee_vod__c","EM_Attendee_vod__c.Employer_Consent_Status_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PW0iQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Budget_vod__c","EM_Budget_vod__c.Budget_Identifier_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2NQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Budget_vod__c","EM_Budget_vod__c.Status_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2SQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Catalog_vod__c","EM_Catalog_vod__c.Item_Id_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PW2XQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Catalog_vod__c","EM_Catalog_vod__c.Item_Type__c","TRUE","TRUE","Item Created"
"01k5E000008PVztQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Catalog_vod__c","EM_Catalog_vod__c.External_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2cQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Catalog_vod__c","EM_Catalog_vod__c.Name_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW16QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Catalog_vod__c","EM_Catalog_vod__c.Status_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1BQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Event_Speaker_vod__c","EM_Event_Speaker_vod__c.Employer_Consent_Status_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PW0nQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.Contract_Status_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2hQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.End_Date_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2iQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.External_ID_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2mQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.Qualification_Name_vod__c","FALSE","TRUE","Item Created"
"01k5E000008PW2rQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.Qualification_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVygQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.Speaker_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1VQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Speaker_Qualification_vod__c","EM_Speaker_Qualification_vod__c.Start_Date_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVzlQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Venue_vod__c","EM_Venue_vod__c.Country_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PW0yQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","EM_Venue_vod__c","EM_Venue_vod__c.Country_Reference_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PW2wQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Main_Institution_BMS_EMEA__c","TRUE","TRUE","Item Created"
"01k5E000008PW31QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Main_Institution_OneKey_ID_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW36QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Role_BMS_EMEA__c","TRUE","TRUE","Item Created"
"01k5E000008PW0IQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Role_formula_BMS_EMEA__c","FALSE","TRUE","Item Created"
"01k5E000008PW2jQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.TestToPullNewField__c","TRUE","TRUE","Item Created"
"01k5E000008PW0JQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.MOH_Consent_End_Date_BMS_EMEA_TR__c","TRUE","TRUE","Item Created"
"01k5E000008PVzaQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.MOH_Consent_Start_Date_BMS_EMEA_TR__c","TRUE","TRUE","Item Created"
"01k5E000008PW3BQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.MOH_Consent_BMS_EMEA_TR_formula__c","FALSE","TRUE","Item Created"
"01k5E000008PW3GQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Clinic_Hospital_Name_BMS_EMEA__c","TRUE","TRUE","Item Created"
"01k5E000008PW2PQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Top_Organization_Account_BMS_EMEA__c","TRUE","TRUE","Item Created"
"01k5E000008PW3CQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.BP_ID__c","TRUE","TRUE","Item Created"
"01k5E000008PVyhQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Interaction_Frequency_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PVd1QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Interaction_Class_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW1CQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.YTD_Activity_BMS__c","FALSE","TRUE","Item Created"
"01k5E000008PW3LQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Avg_Calls_Mo_BMS__c","FALSE","TRUE","Item Created"
"01k5E000008PW3QQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.License_State_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PVyiQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Local_Influence_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW1uQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Regional_Influence_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW32QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.National_Influence_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW3VQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Sprycel_Target_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW1vQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Erbitux_Target_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW2EQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Yervoy_Target_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW2sQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Ixempra_Target_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW1gQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Overall_Sphere_of_Influence_BMS__c","TRUE","TRUE","Item Created"
"01k5E000008PW3aQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Credentials_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1WQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Specialty_1_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1LQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Specialty_2_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3fQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Preferred_Name_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3pQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Beds__c","TRUE","TRUE","Item Created"
"01k5E000008PW3nQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.PDRP_Opt_Out_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3oQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.PDRP_Opt_Out_Date_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3uQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Middle_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2TQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Suffix_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3qQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Gender_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVySQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Group_Specialty_1_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW1aQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Group_Specialty_2_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3zQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Practice_at_Hospital_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3RQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Practice_Near_Hospital_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW44QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Total_MDs_DOs__c","TRUE","TRUE","Item Created"
"01k5E000008PW45QAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.AHA__c","TRUE","TRUE","Item Created"
"01k5E000008PW3SQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.NPI_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW2UQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.ME__c","TRUE","TRUE","Item Created"
"01k5E000008PW1XQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Speaker__c","TRUE","TRUE","Item Created"
"01k5E000008PW0zQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Investigator_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PW3rQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Tax_Status__c","TRUE","TRUE","Item Created"
"01k5E000008PW4EQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Model__c","TRUE","TRUE","Item Created"
"01k5E000008PW4JQAW","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Offerings__c","TRUE","TRUE","Item Created"
"01k5E000008PW1bQAG","0PS3E0000000FluWAE","0PS5E000000Cm8R","Account","Account.Departments__c","TRUE","TRUE","Item Created"
