# Use the Source file to translate labels for the first time.
# - Change the language code in the header from the organization's default language to the translation language. See "Supported Languages for Translatable Customizations" in the Salesforce.com online help for a list of supported languages and their associated language codes.
# - Replace the untranslated values in the LABEL column with translated values.

# Notes:
# Don't add columns to or remove columns from this file.
# Tabs (\t), new lines (\n) and carriage returns (\r) are represented by special characters in this file. These characters should be preserved in the import file to maintain formatting.
# Lines that begin with the # symbol are ignored during import.
# Salesforce translation files are exported in the UTF-8 encoding to support extended and double-byte characters. This encoding cannot be changed.

# Language: English
Language code: en_US
Type: Source

# KEY	LABEL

ButtonOrLink.Rep_Roster_vod__c.View_Medical_Inquiry_Signatures	View Medical Inquiry Signatures
ButtonOrLink.Rep_Roster_vod__c.View_Signatures_vod	View Signatures
ButtonOrLink.Sample_Inventory_vod__c.Save_vod	Save
ButtonOrLink.Sample_Inventory_vod__c.Submit_vod	Submit
ButtonOrLink.Lot_Catalog_vod__c.Create_Sample_Lots_vod	Create Sample Lots
ButtonOrLink.Sample_Transaction_vod__c.New_Adjustment_vod	New Adjustment
ButtonOrLink.Sample_Transaction_vod__c.New_Return	New Return
ButtonOrLink.Sample_Transaction_vod__c.New_Transfer_vod	New Transfer
ButtonOrLink.Sample_Transaction_vod__c.Submit_vod	Submit
ButtonOrLink.Sample_Transaction_vod__c.Unlock_vod	Unlock
ButtonOrLink.Sample_Transaction_vod__c.zvod_New_Package_Label_vod	New Package Label
ButtonOrLink.Zip_to_Terr_vod__c.Process_Alignment_vod	Process Alignment
ButtonOrLink.Call_Error_vod__c.Delete_vod	Delete
ButtonOrLink.Call_Error_vod__c.Resolve_vod	Resolve
ButtonOrLink.Event_Attendee_vod__c.BMS_EMEA_Mass_Edit	Mass Edit
ButtonOrLink.Event_Attendee_vod__c.BMS_EMEA_Mass_Update	Update Selected Records
ButtonOrLink.Event_Attendee_vod__c.BMS_EMEA_Mass_Update_Status	Mass Update Status
ButtonOrLink.Medical_Event_vod__c.Add_Attendee_vod	Add Attendee
ButtonOrLink.Medical_Event_vod__c.Add_My_Attendance_vod	Add My Attendance
ButtonOrLink.Medical_Event_vod__c.Attendee_Signatures	Attendee Signatures
ButtonOrLink.Medical_Event_vod__c.Auto_Approve_BMS_EMEA	Auto Approve
ButtonOrLink.Medical_Event_vod__c.Auto_Approve_Lunch_and_Learn	Auto Approve Lunch and Learn
ButtonOrLink.Medical_Event_vod__c.BMS_EMEA_Print_Attendee_Sheet	Print Attendee Sheet
ButtonOrLink.Medical_Event_vod__c.BMS_EMEA_Sign_In_Sheet	Feuille d’Emargement
ButtonOrLink.Medical_Event_vod__c.Cancel_Meeting_BMS_EMEA	Cancel Meeting
ButtonOrLink.Medical_Event_vod__c.Close_Out_BMS_EMEA	Close Out
ButtonOrLink.Medical_Event_vod__c.Close_Out_Meeting	Close Out Meeting
ButtonOrLink.Medical_Event_vod__c.Deep_Clone	Clone the Meeting
ButtonOrLink.Medical_Event_vod__c.Execute_Meeting	Execute Meeting
ButtonOrLink.Medical_Event_vod__c.Final_Sign_In_Sheet	Final Sign-In Sheet
ButtonOrLink.Medical_Event_vod__c.List_of_Attendees_BMS_EMEA	List of Attendees
ButtonOrLink.Medical_Event_vod__c.List_of_H2O_Attendees_BMS_EMEA	List of H2O Attendees
ButtonOrLink.Medical_Event_vod__c.List_of_Speakers_BMS_EMEA	List of Speakers
ButtonOrLink.Medical_Event_vod__c.Manage_Attendees_vod	Manage Attendees
ButtonOrLink.Medical_Event_vod__c.Manual_Sign_in	Manual Sign in
ButtonOrLink.Medical_Event_vod__c.New_Key_Medical_Insight_vod	New Key Medical Insight
ButtonOrLink.Medical_Event_vod__c.Recall_to_Planning_BMS_EMEA	Recall to Planning
ButtonOrLink.Medical_Event_vod__c.Record_a_Call_vod	Record a Call
ButtonOrLink.Medical_Event_vod__c.Send_Approval_Reminder_BMS_EMEA	Send Approval Reminder
ButtonOrLink.Medical_Event_vod__c.Send_Email_vod	Send Email
ButtonOrLink.Medical_Event_vod__c.Sign_In_Sheet	Sign-In Sheet
ButtonOrLink.Medical_Event_vod__c.Speaker_Contract	Speaker Contract
ButtonOrLink.Medical_Event_vod__c.View_Signatures_vod	View Signatures
ButtonOrLink.Analytics_Files_vod__c.Account_Error_Report_vod	Account Error Report
ButtonOrLink.Analytics_Files_vod__c.Control_Totals_Report_vod	Control Totals Report
ButtonOrLink.Analytics_Files_vod__c.Product_Error_Report_vod	Product Error Report
ButtonOrLink.Analytics_Files_vod__c.Run_Error_Reports_vod	Run Error Reports
ButtonOrLink.Analytics_Files_vod__c.Zip_Error_Report_vod	Zip Error Report
ButtonOrLink.Analytics_Layouts_vod__c.ACPD_Account_Types_vod	ACPD_Account_Types_vod
ButtonOrLink.Analytics_Layouts_vod__c.ACPD_Call_Status_vod	ACPD_Call_Status_vod
ButtonOrLink.Analytics_Layouts_vod__c.ACPD_Call_Types_vod	ACPD_Call_Types_vod
ButtonOrLink.Analytics_Layouts_vod__c.ACPD_Count_Attendees_vod	ACPD_Count_Attendees_vod
ButtonOrLink.Analytics_Layouts_vod__c.An_Rpt_Display_Goals_vod	An_Rpt_Display_Goals_vod
ButtonOrLink.Analytics_Layouts_vod__c.CPA_Display_Products_vod	CPA_Display_Products_vod
ButtonOrLink.Analytics_Layouts_vod__c.ER_Call_Status_vod	ER_Call_Status_vod
ButtonOrLink.Analytics_Layouts_vod__c.ER_Call_Types_vod	ER_Call_Types_vod
ButtonOrLink.Analytics_Layouts_vod__c.ER_Count_Attendees_vod	ER_Count_Attendees_vod
ButtonOrLink.Analytics_Layouts_vod__c.ER_Display_Goals_vod	ER_Display_Goals_vod
ButtonOrLink.Analytics_Layouts_vod__c.ER_Product_vod	ER_Product_vod
ButtonOrLink.Analytics_Layouts_vod__c.RF_Call_Status_vod	RF_Call_Status_vod
ButtonOrLink.Analytics_Layouts_vod__c.RF_Call_Types_vod	RF_Call_Types_vod
ButtonOrLink.Analytics_Layouts_vod__c.RF_Count_Attendees_vod	RF_Count_Attendees_vod
ButtonOrLink.Analytics_Layouts_vod__c.TC_Compare_To_vod	TC_Compare_To_vod
ButtonOrLink.Analytics_Layouts_vod__c.TC_Display_Goals_vod	TC_Display_Goals_vod
ButtonOrLink.Analytics_Layouts_vod__c.TSA_Compare_To_vod	TSA_Compare_To_vod
ButtonOrLink.Analytics_Layouts_vod__c.TSA_Display_Goals_vod	TSA_Display_Goals_vod
ButtonOrLink.Sample_Order_Transaction_vod__c.New_Order_Adjustment_vod	New Order Adjustment
ButtonOrLink.Sample_Order_Transaction_vod__c.New_Order_Transfer_vod	New  Order Transfer
ButtonOrLink.Sample_Order_Transaction_vod__c.Submit_vod	Submit
ButtonOrLink.Sample_Order_Transaction_vod__c.Unlock_vod	Unlock
ButtonOrLink.Clm_Presentation_vod__c.Clone_Presentation_vod	Clone
ButtonOrLink.Clm_Presentation_vod__c.Migrate_vod	Migrate
ButtonOrLink.Clm_Presentation_vod__c.View_All_Media_vod	View All Media
ButtonOrLink.Order_vod__c.New_Order_3_vod	New "New UI" Order
ButtonOrLink.Order_vod__c.New_Order_vod	New Order
ButtonOrLink.Order_vod__c.Print_Order_vod	Print
ButtonOrLink.Order_vod__c.Save_vod	Save
ButtonOrLink.Order_vod__c.Split_vod	Split
ButtonOrLink.Order_vod__c.Submit_vod	Submit
ButtonOrLink.Order_vod__c.Void_vod	Void
ButtonOrLink.Child_Account_vod__c.Edit_Child_Account_DCR_vod	Edit Child Account DCR
ButtonOrLink.Child_Account_vod__c.New_Child_Account_DCR_vod	New Child Account
ButtonOrLink.Child_Account_vod__c.New_Child_Account_vod	New Child
ButtonOrLink.Child_Account_vod__c.New_Parent_Account_DCR_vod	New Parent Account
ButtonOrLink.Child_Account_vod__c.New_Parent_Account_vod	New Parent
ButtonOrLink.Child_Account_vod__c.Record_a_Call_vod	Record a Call
ButtonOrLink.Child_Account_vod__c.Save_Primary_vod	Save & Make Primary
ButtonOrLink.Child_Account_vod__c.View_Hierarchy_vod	View Hierarchy
ButtonOrLink.Cycle_Plan_Target_vod__c.Cycle_Plan_Apply_List_vod	Apply List
ButtonOrLink.Cycle_Plan_Target_vod__c.Cycle_Plan_New_Target_vod	New Target
ButtonOrLink.Cycle_Plan_Target_vod__c.Cycle_Plan_Schedule_Calls_vod	Schedule Calls
ButtonOrLink.Cycle_Plan_vod__c.Submit_vod	Submit
ButtonOrLink.Inventory_Monitoring_vod__c.Save_vod	Save
ButtonOrLink.Inventory_Monitoring_vod__c.Submit_vod	Submit
ButtonOrLink.Inventory_Monitoring_vod__c.new_inventory	New Inventory
ButtonOrLink.Campaign_Target_vod__c.Apply_Account_List_vod	Apply Account List
ButtonOrLink.Inventory_Order_vod__c.Approve_vod	Approve
ButtonOrLink.Inventory_Order_vod__c.Reject_vod	Reject
ButtonOrLink.Inventory_Order_vod__c.Save_vod	Save
ButtonOrLink.Inventory_Order_vod__c.Submit_vod	Submit
ButtonOrLink.Inventory_Order_vod__c.Unlock_vod	Unlock
ButtonOrLink.Data_Change_Request_BMS_SHARED__c.Clone_Address_BMS_EMEA	Clone
ButtonOrLink.Data_Change_Request_BMS_SHARED__c.Clone_Individual_BMS_EMEA	Clone
ButtonOrLink.Question_vod__c.Translate_vod	Translate
ButtonOrLink.Survey_Question_vod__c.Add_Selected_vod	Add Selected
ButtonOrLink.Survey_Question_vod__c.Add_To_Question_Bank_vod	Add To Question Bank
ButtonOrLink.Survey_Question_vod__c.Add_To_Survey_vod	Add To Survey
ButtonOrLink.Survey_Target_vod__c.Clone_vod	Clone
ButtonOrLink.Survey_Target_vod__c.Complete_vod	Complete
ButtonOrLink.Survey_Target_vod__c.New_Survey_Target_vod	New Survey Target
ButtonOrLink.Survey_Target_vod__c.Recall_vod	Recall
ButtonOrLink.Survey_Target_vod__c.Send_To_Employee_vod	Send to Employee
ButtonOrLink.Survey_vod__c.Calculate_Sharing_vod	Calculate Sharing
ButtonOrLink.Survey_vod__c.Publish_vod	Publish
ButtonOrLink.Survey_vod__c.Translate_vod	Translate
ButtonOrLink.Meeting_Speaker_BMS__c.Print_Contract_Form	Print Contract Form
ButtonOrLink.Contract_Line_vod__c.New_Contract_Line_vod	New Fee/Reimbursable
ButtonOrLink.Contract_Partner_vod__c.Activate_vod	Activate
ButtonOrLink.Contract_Partner_vod__c.New_Contract_Partner_vod	New Recipient
ButtonOrLink.Contract_Partner_vod__c.Unlock_vod	Unlock
ButtonOrLink.Contract_Partner_vod__c.View_Signatures_vod	View Signatures
ButtonOrLink.Contract_vod__c.Activate_vod	Activate
ButtonOrLink.Contract_vod__c.Initiate_Contract_HCPTS	Framework Agreement
ButtonOrLink.Contract_vod__c.Unlock_vod	Unlock
ButtonOrLink.Data_Change_Request_vod__c.DCR_Link	DCR Link
ButtonOrLink.Master_File_BMS_EMEA__c.Deep_Clone	Clone the Master File
ButtonOrLink.Master_File_BMS_EMEA__c.New_Meeting	New Meeting
ButtonOrLink.Master_File_BMS_EMEA__c.Notify_FLM_Reps_BMS_EMEA	Notify FLM & Reps
ButtonOrLink.Master_File_BMS_EMEA__c.Send_Reminder_BMS_EMEA	Send Approval Reminder
ButtonOrLink.Master_File_BMS_EMEA__c.Unlock_the_Record_BMS_EMEA	Recall Master File
ButtonOrLink.Meeting_Material_BMS_EMEA__c.New_Material_BMS_EMEA	New Material
ButtonOrLink.Meeting_Contract_BMS_EMEA__c.New_Contract_BMS_EMEA	New Contract
ButtonOrLink.Key_Stakeholder_vod__c.Add_From_Affiliations_vod	Add from Affiliations
ButtonOrLink.Key_Stakeholder_vod__c.Add_from_Hierarchy_vod	Add from Hierarchy
ButtonOrLink.EM_Attendee_vod__c.Generate_Sponsorship_Letter_Template	Download Sponsorship Letter
ButtonOrLink.EM_Attendee_vod__c.Send_Sponsorship_Letter_HCPTS	Send Sponsorship Letter
ButtonOrLink.EM_Attendee_vod__c.Setup_Sponsorship_Letter_HCPTS	Setup Sponsorship Letter
ButtonOrLink.EM_Budget_vod__c.Submit_for_Approval_BMS	Submit for Approval (BMS)
ButtonOrLink.EM_Event_Layout_vod__c.Page_Layout_Organizer_vod	Page Layout Organizer
ButtonOrLink.EM_Event_Speaker_vod__c.Download_Contracts_HCPTS	Download Draft Contracts
ButtonOrLink.EM_Event_Speaker_vod__c.Generate_Contract	Generate Contract
ButtonOrLink.EM_Event_Speaker_vod__c.Invite_Speaker	Invite Speaker
ButtonOrLink.EM_Event_Speaker_vod__c.Regenerate_ICF_HCPTS	Renew ICF
ButtonOrLink.EM_Event_Speaker_vod__c.Renew_Framework	Renew Framework
ButtonOrLink.EM_Event_Speaker_vod__c.Setup_Contract	Setup Contracts & ICF
ButtonOrLink.EM_Event_vod__c.Approve_vod	Approve
ButtonOrLink.EM_Event_vod__c.Attendee_Reconciliation_vod	Attendee Reconciliation
ButtonOrLink.EM_Event_vod__c.Cancel_Event_vod	Cancel Event
ButtonOrLink.EM_Event_vod__c.Close_vod	Close
ButtonOrLink.EM_Event_vod__c.Closeout_BMS	Closeout
ButtonOrLink.EM_Event_vod__c.Execute_BMS	Ready for Execution
ButtonOrLink.EM_Event_vod__c.Generate_Invitations_vod	Generate Invitations
ButtonOrLink.EM_Event_vod__c.Generate_Sign_In_vod	Generate Sign In Sheet
ButtonOrLink.EM_Event_vod__c.In_Planning_BMS	In Planning
ButtonOrLink.EM_Event_vod__c.Manage_Attendees_vod	Manage Attendees
ButtonOrLink.EM_Event_vod__c.Meeting_Attendees	Meeting Attendees
ButtonOrLink.EM_Event_vod__c.PostEvent	Move to Post Event
ButtonOrLink.EM_Event_vod__c.PostEventPostApproval	Move to Post Event
ButtonOrLink.EM_Event_vod__c.Post_Execution_BMS	Post-Execution
ButtonOrLink.EM_Event_vod__c.Reapprove_BMS	Reapprove
ButtonOrLink.EM_Event_vod__c.Recall_Approval_Request_vod	Recall Approval Request
ButtonOrLink.EM_Event_vod__c.Recall_BMS	Recall
ButtonOrLink.EM_Event_vod__c.Record_a_Call_vod	Record a Call
ButtonOrLink.EM_Event_vod__c.Reject_vod	Reject
ButtonOrLink.EM_Event_vod__c.Replan_BMS	Replan
ButtonOrLink.EM_Event_vod__c.Reschedule_vod	Reschedule
ButtonOrLink.EM_Event_vod__c.Send_Email_vod	Send Email
ButtonOrLink.EM_Event_vod__c.Submit_for_Approval_vod	Add PO Approver
ButtonOrLink.EM_Event_vod__c.Submit_for_SFDC_Approval_BMS	Submit for Approval
ButtonOrLink.EM_Event_vod__c.Unlock_PostApproval	Unlock_PostApproval
ButtonOrLink.EM_Event_vod__c.Unlock_vod	Unlock
ButtonOrLink.EM_Event_vod__c.View_Signatures_vod	View Signatures
ButtonOrLink.EM_Speaker_vod__c.Initiate_ICF_HCPTS	Initiate ICF
ButtonOrLink.EM_Speaker_vod__c.Send_ICF_via_Echosign_Prompt	Send ICF via Echosign
ButtonOrLink.EM_Speaker_vod__c.Tiering_Criteria_HCPTS	Tiering Criteria
ButtonOrLink.EM_Vendor_vod__c.Create_Update_Vendor	Create/Update Vendor
ButtonOrLink.EM_Vendor_vod__c.Request_DOCT_Vendor	Request DOCT Vendor
ButtonOrLink.Account.Account_Overview_vod	View Overview
ButtonOrLink.Account.Account_Summary	Account Summary
ButtonOrLink.Account.Assign_Territories	Assign Territories
ButtonOrLink.Account.Assign_Territory	Assign Territory
ButtonOrLink.Account.Business_vod_New	New Related Organization
ButtonOrLink.Account.Call_report	Call Report
ButtonOrLink.Account.APXTConga4__Conga_Composer_OAuth	Conga Composer (OAuth)
ButtonOrLink.Account.APXTConga4__Conga_Mail_Merge	Conga Composer
ButtonOrLink.Account.Consent_Capture_vod	Consent Capture
ButtonOrLink.Account.Create_OnTAP_Action_BMS	Create Action
ButtonOrLink.Account.Create_OnTAP_Action_BMS_Org	Create Action
ButtonOrLink.Account.Edit_DCR_vod	Edit
ButtonOrLink.Account.Email_Opt_In_vod	Email Opt In
ButtonOrLink.Account.Meeting_Brief	Meeting Brief
ButtonOrLink.Account.MultiChannel_Calendar_vod	Calendar
ButtonOrLink.Account.New_Contract_vod	New Contract
ButtonOrLink.Account.New_Key_Medical_Insight_vod	New Key Medical Insight
ButtonOrLink.Account.New_Professional_vod	New Professional
ButtonOrLink.Account.New_Trial_Scope_Report_BMS	New Trial Scope Report
ButtonOrLink.Account.Person_vod_New	New Related Individual
ButtonOrLink.Account.Profiling_Questions_Individual_BMS	Profiling Questions
ButtonOrLink.Account.Profiling_Questions_Org_BMS	Profiling Questions
ButtonOrLink.Account.Record_a_Call	Record an Interaction
ButtonOrLink.Account.Sample_Opt_In_vod	Sample Opt In
ButtonOrLink.Account.Schedule_a_Call	Schedule a Call
ButtonOrLink.Account.Send_Approved_Email_vod	Send Email
ButtonOrLink.Account.echosign_dev1__Send_to_EchoSign	Send for Signature
ButtonOrLink.Account.Start_Cobrowse_vod	Start CoBrowse
ButtonOrLink.Account.View_Hierarchy_vod	View Hierarchy
ButtonOrLink.Account.View_KOL_Summary	View KOL Summary
ButtonOrLink.Account.View_User_Territory_vod	View BMS Team
ButtonOrLink.Campaign.ViewAllCampaignMembers	View All Campaign Members
ButtonOrLink.Campaign.ViewCampaignInfluenceReport	View Campaign Influence Report
ButtonOrLink.Case.APXTConga4__Conga_Composer_OAuth	Conga Composer (OAuth)
ButtonOrLink.Case.APXTConga4__Conga_Mail_Merge	Conga Composer
ButtonOrLink.Case.S_Docs	S-Docs
ButtonOrLink.Case.UpsellCrosssellOpportunity	Up-sell / Cross-sell Opportunity
ButtonOrLink.Contact.APXTConga4__Conga_Composer_OAuth	Conga Composer (OAuth)
ButtonOrLink.Contact.APXTConga4__Conga_Mail_Merge	Conga Composer
ButtonOrLink.Contact.Record_a_Call_vod	Record a Call
ButtonOrLink.Contact.echosign_dev1__Send_to_EchoSign	Send for Signature
ButtonOrLink.Contract.APXTConga4__Conga_Composer_OAuth	Conga Composer (OAuth)
ButtonOrLink.Contract.APXTConga4__Conga_Mail_Merge	Conga Composer
ButtonOrLink.Contract.APXTConga4__Conga_Merge	Conga Composer
ButtonOrLink.Contract.echosign_dev1__Send_to_EchoSign	Send for Signature
ButtonOrLink.CustomPageItem.AMEX_CORE	AMEX
ButtonOrLink.CustomPageItem.Abilify_SharePoint_Site	Abilify SharePoint Site
ButtonOrLink.CustomPageItem.At_the_Heart_Of_Portal_for_CHE_materials_for_HCP_s	At the Heart Of - Portal for CHE materials for HCP's
ButtonOrLink.CustomPageItem.BMS_Canada_Corporate_Website	BMS Canada Corporate Website
ButtonOrLink.CustomPageItem.BMS_China_Home_Page_BMS_CN	BMS China Home Page
ButtonOrLink.CustomPageItem.BMS_EMEA_Create_New_Meeting	Create New Meeting
ButtonOrLink.CustomPageItem.BMS_EMEA_Medical_Insights	Medical Insights
ButtonOrLink.CustomPageItem.BMS_EMEA_TIM	Thought Leader Interaction Model (TIM)
ButtonOrLink.CustomPageItem.BMS_Medical_Inquiry_Splash_Page	BMS Medical Inquiry Splash Page
ButtonOrLink.CustomPageItem.Being_Well_with_Sprycel_patient_website	Being Well with Sprycel patient website
ButtonOrLink.CustomPageItem.Bristol_Myers_Squibb	Bristol-Myers Squibb
ButtonOrLink.CustomPageItem.CML_You_disease_awareness_website	CML & You disease awareness website
ButtonOrLink.CustomPageItem.Canada_Medical_Team_SharePoint_Site	Canada Medical Team SharePoint Site
ButtonOrLink.CustomPageItem.China_Medical	China Medical
ButtonOrLink.CustomPageItem.China_Rep	China Rep
ButtonOrLink.CustomPageItem.Clear_Veeva_Cache	Clear Veeva Cache
ButtonOrLink.CustomPageItem.Concur_CORE	Concur
ButtonOrLink.CustomPageItem.echosign_dev1__Configuration_Guide	Configuration Guide
ButtonOrLink.CustomPageItem.APXTConga4__Conga_Configuration_Guide	Conga Configuration Guide
ButtonOrLink.CustomPageItem.APXTConga4__Conga_Setup_Page	Conga Setup Page
ButtonOrLink.CustomPageItem.EM_Activities_In_Processor_Review_Report	EM Activities In Processor Review Report
ButtonOrLink.CustomPageItem.Eliquis_SharePoint_Site	Eliquis SharePoint Site
ButtonOrLink.CustomPageItem.Global_Account_Search_BMS	Global Account Search
ButtonOrLink.CustomPageItem.Global_Customer_HCPTS	Global Customer Master Widget
ButtonOrLink.CustomPageItem.HCP_Expense_Report_CH_SharePoint	Swiss HCP Expense Report
ButtonOrLink.CustomPageItem.Immunology_and_Virology_SharePoint_site	Immunology and Virology SharePoint site
ButtonOrLink.CustomPageItem.InteRPort	InteRPort
ButtonOrLink.CustomPageItem.Intelligent_Territories	Intelligent Territories
