UTF-8
BUKRS,KOSTL,KTEXT,PurchasingUnit
"0205","1001889","Regulatory Expenses",""
"0047","1001891","ALMACEN PLANTA FARMA",""
"0047","1001893","Quality Control Merc",""
"0066","1001894","Misc Cogs SOFCA",""
"0062","1001895","ANAGNI MT",""
"0062","1001896","EMEA NPL",""
"0062","1001897","	IM ANAGNI PROJECTS",""
"0231","1001898","G&A-Grants(co.231)",""
"0080","1001899","G&A-Grant",""
"0056","1001919","R&D CLINICAL RESEARC",""
"0401","1001921","R&D Sample",""
"0115","1001922","GMP REMEDIATION COST",""
"0217","1001923","Oth expense",""
"0062","1001925","AnagniOp.Ex.(CIProj)",""
"0115","1001947","CIS Regulatory Fees",""
"0115","1001948","UPSA SAS Project",""
"0581","1001950","BMS assets",""
"0581","1001983","PTI",""
"0131","1001998","Intercon Medical",""
"0584","1002000","RAR Relief R&D",""
"0584","1002001","RAR Relief Cardioxyl",""
"0020","2000080","OINTMENT & CREAM JAR",""
"0020","2000310","NB MAINTENANCE & OPE",""
"0062","2000485","SUBCONTR. ANAGNI PH.",""
"0072","2000500","P1 Organic Equip Poo",""
"0072","2000501","P1 EQUIPMENT POOL",""
"0072","2000502","P2 EQUIPMENT POOL",""
"0072","2000503","P5 EQUIPMENT POOL",""
"0072","2000504","P8 EQUIPMENT POOL",""
"0072","2000505","Hydrogenator Equip",""
"0072","2000506","Maintenance Lab Pool",""
"0072","2000507","OCCUPANCY",""
"0072","2000508","ELECTRICAL POWER",""
"0072","2000509","DEIONIZED WATER",""
"0072","2000510","CITY WATER",""
"0072","2000511","Steam Boiler & Dist.",""
"0072","2000512","PLANT ENGINEERING",""
"0072","2000513","P4 LABOUR POOL",""
"0072","2000514","P4-EQUIPMENT POOL",""
"0072","2000515","MT In-ProcessControl",""
"0072","2000518","PLANNING",""
"0072","2000519","WAREHOUSE",""
"0072","2000523","QUALITY CONTROL",""
"0072","2000524","QUALITY ASSURANCE",""
"0072","2000525","OUTSIDE WASTES",""
"0072","2000526","Environ Health & Saf",""
"0072","2000527","EFFLUENT TREATMENT",""
"0072","2000533","SECURITY",""
"0072","2000534","HEALTH SERVICES",""
"0072","2000537","Manufacturing Lab Po",""
"0072","2000538","SOLVENT RECOVERY",""
"0072","2000539","MANUFACTURING ADMIN.",""
"0072","2000540","General Utilities",""
"0072","2000541","Preventive Maintenan",""
"0072","2000542","Plant: General Sword",""
"0072","2000950","Subcontract Swords",""
"0072","2000967","P3 Equipment Pool",""
"0105","2000983","OpEx Program Mgmt",""
"0105","2000996","Thompson Rd Finish",""
"0111","2001188","QA SAMP-EV PLT 1248",""
"0111","2001193","PHARM EXEC ADMIN",""
"0111","2001194","ITO Engineering",""
"0111","2001200","ITO Supply Chain",""
"0111","2001205","PHARM QC/QA ADMIN",""
"0111","2001209","PHARM QA/QC SVC/PROC",""
"0111","2001210","Project Management",""
"0111","2001220","ITO FIXED OVHD",""
"0111","2001222","MTV RECEIVING",""
"0111","2001223","GENERAL FACT-PHARM",""
"0111","2001230","Line 11 PBC Packagin",""
"0111","2001233","Line 14 PBC Packagin",""
"0111","2001237","PHARM EQUIP-CONTRACT",""
"0111","2001254","MTV Roller Compactor",""
"0111","2001268","Nutritional Processi",""
"0111","2001279","Flex 500 Coater",""
"0111","2001322","MTO General & Admin",""
"0111","2001328","MTO Processing Admin",""
"0111","2001331","CPO Pack-out Room",""
"0111","2001332","ITO Maintenance Admi",""
"0111","2001333","MTO Processing Labor",""
"0062","2001522","LINE 9 EX MORETON",""
"0062","2001523","LI.10 NORD.EP EX MOR",""
"0062","2001524","BATCHING AREA EQUIPM",""
"0062","2001525","STER. AMPS. FILL LIN",""
"0062","2001526","OCCUP STERIL",""
"0062","2001527","EP1 WEI.GR.BLEND.BAL",""
"0062","2001528","EP2 WEI.GR BLEND CVS",""
"0062","2001529","EP3 KO.336/343 92103",""
"0062","2001531","EP5 PELL.(X3)92105",""
"0062","2001532","EP1 S/D/L+REAC.CREAM",""
"0062","2001533","EP S/D/LOTION 92113",""
"0062","2001535","EP2 POW.BLENDS 92132",""
"0062","2001536","EP1 LIQ.LINE D 92141",""
"0062","2001537","EP2 WFI LINE 92142",""
"0062","2001538","EP3 POW.LINE 92143",""
"0062","2001539","EP4 3VIALS+3SYR.IN T",""
"0062","2001540","EP4 SING.VIA+SOL.TRY",""
"0062","2001541","FILLING VIALS-SYRING",""
"0062","2001542","MANUAL PACKAGING",""
"0062","2001543","CAPS. FILLING LINE",""
"0062","2001544","FIALE SOLV. CORIMA",""
"0062","2001545","EP1 OINT/CR.TUB.LINE",""
"0062","2001546","WINPACK BLISTER LINE",""
"0062","2001547","KRONOS & PARTENA BLI",""
"0062","2001548","EP4 DR/LT/SUSP. LINE",""
"0062","2001549","EP5 TABS BOTT. LINE",""
"0062","2001550","GAMMA BLISTER LINE",""
"0062","2001551","EP IMA ZAN.(CAPS-B)",""
"0062","2001553","MANUAL PACKAGING",""
"0062","2001555","STERILE LAB POOL",""
"0062","2001557","PLANNING",""
"0062","2001558","MFG WAREH",""
"0062","2001559","QUALITY CONTROL",""
"0062","2001560","PACK ENG. & ARTWORK",""
"0062","2001562","SECURITY",""
"0062","2001563","Anagni Veolia Fee",""
"0062","2001564","CAFETERIA",""
"0062","2001565","UTILITIES LAB. POOL",""
"0062","2001566","MAINT.LAB.POOL PH.",""
"0062","2001567","WORKSHOP",""
"0062","2001568","SAFETY",""
"0062","2001569","STEAM (NATURAL GAS)",""
"0062","2001570","ELECTRICITY",""
"0062","2001571","OCCUPANCY",""
"0062","2001572","WATER",""
"0062","2001573","CHILLED WATER",""
"0062","2001574","WASTE TREATMENT",""
"0062","2001575","ENGINEERING PHARMA",""
"0062","2001576","PLANT ADMIN.",""
"0062","2001579","GFSO",""
"0062","2001580","GFSO SUMMARY",""
"0062","2001581","ORAL LAB POOL",""
"0034","2001644","Subcontract",""
"0064","2001810","Solv Recovery-equip",""
"0064","2001816","TAC/TACA-Labor",""
"0064","2001830","B29 Process Equipmen",""
"0064","2001840","B 5 Sterile Equip.",""
"0064","2001844","IRB.SR47536 PROC EQU",""
"0064","2001855","W/T Incinerator-Eqp",""
"0064","2001856","W/T Bio Plant-Equip",""
"0115","2002167","Subcontracting UPSA",""
"0115","2002361","GA1 Encadrement",""
"0115","2002362","GA1 ANIMATION COORDI",""
"0115","2002363","MAINT INFRA GA EXP",""
"0115","2002364","GA2 Animation Coord",""
"0115","2002365","GUY MAINT FABRICATIO",""
"0115","2002366","GUY Encadrement",""
"0115","2002367","GUY ANIMATION COORDI",""
"0115","2002368","LOGISTIQUE INDUS FIX",""
"0115","2002369","MANUT GU ZONE NOIRE",""
"0115","2002370","Pack Line 24E gas",""
"0115","2002371","GUY UTILITIES FIX",""
"0115","2002372","MAGASIN AGEN",""
"0115","2002373","Canteen-UPSA",""
"0115","2002374","LOGISTIQUE MP/AC",""
"0115","2002375","GA1 MAINT SACHETS F",""
"0115","2002376","Gen Mngmt-Agen",""
"0115","2002378","Comp Tube Gen-Gas",""
"0115","2002380","Quality Assurance",""
"0115","2002381","GUY MAINT CONDT BLIS",""
"0115","2002382","GA1-CIP",""
"0115","2002383","GAS UTILITIES FIX",""
"0115","2002385","GUY MAINT CONDT DIVE",""
"0115","2002386","Man Gen-Gas",""
"0115","2002387","GA1 MAINT FABRICATIO",""
"0115","2002388","LOGISTIQUE MP/AC T",""
"0115","2002389","GA1 MAINT CONDT DIVE",""
"0115","2002390","UR 1",""
"0115","2002391","GUY MAINT GELULE FI",""
"0115","2002392","UR 2",""
"0115","2002393","GA1 MAINT CONDT STRI",""
"0115","2002394","Man Blk Xfer 97F Gas",""
"0115","2002395","Man Module 01F Gas",""
"0115","2002396","Man Module 02F Gas",""
"0115","2002397","Man Module 03F Gas",""
"0115","2002398","Man Module 04F Gas",""
"0115","2002400","Man Tower 1 06F Gas",""
"0115","2002401","Man Tower 2 07F Gas",""
"0115","2002402","Man Tower 3 21F Gas",""
"0115","2002403","Pack Line 01E Gas",""
"0115","2002404","Pack Line 02E Gas",""
"0115","2002405","Pack Line 03E Gas",""
"0115","2002409","Pack Line 07E Gas",""
"0115","2002414","Pack Line 12/22E Gas",""
"0115","2002416","Pack Line 15E Gas",""
"0115","2002418","Pack Line 21E Gas",""
"0115","2002419","IMPRIMERIE FIX",""
"0115","2002422","Man Liq F20 Guy",""
"0115","2002424","Man Oint F10 Guy",""
"0115","2002425","Man Pow F02 Guy",""
"0115","2002426","Man Supp F12 Guy",""
"0115","2002427","Pack Amp 2 E31 Guy",""
"0115","2002428","Pack Blstr 1 E05 Guy",""
"0115","2002429","Pack Blstr 2 E06 Guy",""
"0115","2002430","Pack Blstr 3 E07 Guy",""
"0115","2002431","Pack Liq E20-Guy",""
"0115","2002433","Pack Oint E10 Guy",""
"0115","2002434","Pack Supp E12 Guy",""
"0115","2002435","Pack Tablet E21 Guy",""
"0115","2002437","CQ GUY / GAS VAR",""
"0115","2002438","Pack Man 01M Gas",""
"0115","2002439","Pack Man 02M Gas",""
"0115","2002440","GA1 MAINT COMPRESSIO",""
"0115","2002441","GA1 MAINT TUBES FIX",""
"0115","2002444","Pack Sachet 18E Gas",""
"0115","2002445","GA2 MAINT FABRICATIO",""
"0115","2002448","Man Benzoate 93F Gas",""
"0115","2002449","Man Tower 4 22F Gas",""
"0115","2002451","Gélule GUY (C02)",""
"0115","2002452","Gélule GUY (C03)",""
"0115","2002457","Comp Gen Guy",""
"0115","2002461","PELLICULAGE TURBINE",""
"0115","2002462","Man Alc F04 Guy",""
"0115","2002463","Pack Manual M01 Guy",""
"0115","2002464","Pack Manual M02 Guy",""
"0115","2002472","PACK STRIP D28 GA2",""
"0115","2002477","General expenses Fac",""
"0115","2002480","SERVICE GENERAL MI G",""
"0115","2002481","GA1 MOID",""
"0115","2002484","ENCAISSEMENT RESTAUR",""
"0115","2002486","GUY MOID",""
"0115","2002489","CONTRÔLE AC GUY+GAS.",""
"0115","2002490","GA2 ENCADREMENT",""
"0115","2002491","SERVICES GENERAUX GA",""
"0072","2002522","Thermil Oxidiser",""
"0111","2002640","Line 3 PBC Packaging",""
"0111","2002647","MTV BLENDING",""
"0111","2002671","EPO RECLASS",""
"0115","2002691","GA2 PRODUCTION",""
"0115","2002693","GA2-MOP",""
"0115","2002694","Guy Production",""
"0115","2002695","GUY PELLICULAGE AAI",""
"0115","2002698","SERVICES GENERAUX GU",""
"0115","2002704","Purchasing",""
"0115","2002705","Opérations Lancement",""
"0115","2002706","AQ PRODUCTION GUY /",""
"0115","2002707","GA1 MOP",""
"0115","2002708","GUY MOP",""
"0115","2002710","Inf Tech Prod",""
"0115","2002716","CHARGES SUR INVEST G",""
"0115","2002717","CHARGES SUR INVEST G",""
"0115","2002722","WIP GA1-PRESSES",""
"0115","2002723","AQ QUALIFICATION / V",""
"0115","2002724","AQ SYSTÈMES",""
"0111","2003221","MTV GRAN FLUID BED",""
"0111","2003343","MTV WEIGHROOM",""
"0072","2003352","Plant Eng /Car",""
"0115","2003395","MAN MODULE 08F GAS",""
"0115","2003397","ASSISTANCE USINE DPI",""
"0115","2003398","ENV. HEALTH SECURITY",""
"0115","2003399","FORMATION PROFESSION",""
"0115","2003401","Controle de gestion",""
"0115","2003403","DIR. SUPPLY CHAIN AG",""
"0115","2003404","TAXES GASCOGNE",""
"0115","2003405","TAXES GUYENNE",""
"0115","2003408","ATELIER D'USINAGE",""
"0115","2003409","PARC AUTO GUY/GASC",""
"0115","2003410","ENGINEERING UPSA PRO",""
"0115","2003411","GA1 Production",""
"0115","2003412","AQ PRODUCTION GUY /",""
"0115","2003413","MAINT INFRA GA PAY",""
"0115","2003414","MAINT INFRA GUY",""
"0115","2003416","PLANIF & APPRO GUY",""
"0115","2003547","TECHNICO RÈGLEMENTAI",""
"0072","2003549","Nitrogen Generation",""
"0072","2003550","FUEL",""
"0070","2003551","ExM SC Variances",""
"0115","2003553","MAN MARQUAGE IMPR F0",""
"0111","2003758","Small Scale Manufact",""
"0020","2003770","SC NB Plant 1007",""
"0064","2003773","B 6 Wet Granulation",""
"0064","2003775","Security",""
"0064","2003781","MT DP Process",""
"0064","2003787","GFS/O Pool-Finishing",""
"0064","2003791","B 6 Pharmacy",""
"0064","2003793","B 6 Fluid Bed Dryer",""
"0064","2003795","B 6 V Blender",""
"0064","2003796","B 6 Tablet Press",""
"0064","2003797","B 6 Tablet Coating",""
"0064","2003798","B 6 Bins Area",""
"0064","2003799","IKM",""
"0064","2003800","B 6 Non-Lactam Labor",""
"0064","2003801","B6 Phase 1 Equipmen",""
"0064","2003803","B 6 Bin Tumbler-Zeri",""
"0064","2003804","B 6 Roller compactor",""
"0115","2003813","PACK STRIPS 25-GAS",""
"0064","2003825","Maintenance Labor",""
"0064","2003850","Utilities Equip",""
"0454","2004000","Technical Services",""
"0454","2004002","New Products & Proj",""
"0454","2004003","FACILITIES MAINT.",""
"0454","2004004","Calibrations",""
"0454","2004005","Water-City & Well",""
"0454","2004006","Steam-Boilers & Di",""
"0454","2004007","Par Lyo Labor",""
"0454","2004008","Processing OSD-Lab",""
"0454","2004013","Supply Chain",""
"0454","2004015","Product Release",""
"0454","2004018","QC ADMIN",""
"0454","2004019","QA/QC MICRO LAB. LAB",""
"0454","2004020","Chemical Lab Labor",""
"0454","2004022","Compliance",""
"0454","2004023","Insp. & Pkg Labor",""
"0454","2004024","Remediation",""
"0454","2004026","ORALS MECHANICS",""
"0454","2004027","PARENTERALS MECHANIC",""
"0454","2004028","Par. Lyophilization",""
"0454","2004074","Packaging Technology",""
"0454","2004077","Inspection Tech",""
"0454","2004202","GFS/O",""
"0454","2004204"," Manual Inspection",""
"0454","2004208","Electricity-Sub st",""
"0454","2004209","Utilities Labor",""
"0454","2004210","Utilities-Compress",""
"0454","2004248","Slugging-Coumadin",""
"0454","2004253","SSI /FE & AI AND PAC",""
"0454","2004361","PMO",""
"0020","2004372","Quality Admin",""
"0020","2004375","Micro Biological-AD",""
"0062","2004378","PERFALGAN EQUIP.",""
"0454","2004464","Tolling Services",""
"0064","2004475","PHARM GMS RECL",""
"0454","2004480","Packaging Parenteral",""
"0454","2004494","PHARMA GMS RECL",""
"0062","2004505","EQUIP. BA400 EX LT",""
"0454","2004510","Table Process-Coum",""
"0111","2004518","Operational Effectiv",""
"0115","2004519","GFSO FRAIS FIXES GUY",""
"0115","2004520","GFSO FRAIS FIXES GAS",""
"0115","2004529","CQ GUY / GAS FIX",""
"0115","2004531","GUY UTILITIES VAR",""
"0115","2004532","GAS UTILITIES VAR",""
"0115","2004535","GARDIENNAGE GUY/GAS",""
"0115","2004536","IMPRIMERIE VAR",""
"0115","2004537","TRAITEMENT DECHETS V",""
"0115","2004541","GA1 MAINT COMPRESSIO",""
"0115","2004544","GUY MAINT DIVERS FI",""
"0115","2004548","LOGISTIQUE GUY / GAS",""
"0115","2004550","PELLICULEUSES",""
"0115","2004551","Manut Fab +Infra Gas",""
"0454","2004755","Anal Lab Incoming",""
"0454","2004756","QC Lab System & Stab",""
"0111","2004759","HATA Press",""
"0454","2004788","Technical Training",""
"0454","2004790","EHS-Manati",""
"0454","2004791","Pharmacy-Coumadin",""
"0454","2004792","Automated Inspection",""
"0454","2004793","Pre-Mix/Mlg/Blending",""
"0454","2004794","Oper Excellence (OE)",""
"0454","2004795","AUT INSP SYRINGES",""
"0454","2004799","Par. Formulation",""
"0454","2004801","Par. Filling",""
"0454","2004804","Semi Aut Insp Liquid",""
"0454","2004806","Flex. Packaging Line",""
"0454","2004809","SEMI-AUTO LIQUID INS",""
"0454","2004810","Large Vial Pkg. Line",""
"0020","2004814","Ext Mfg & Prod Srcg",""
"0020","2004819","Cell 2 Labor Pool",""
"0115","2004832","Pack Line 27-Gasco",""
"0454","2004854","Device Assemb Line",""
"0068","2004870","CARDIOVASCULAR",""
"0068","2004871","GENERIC",""
"0068","2004872","ANTIINFECTIVE EX ANT",""
"0068","2004873","ANTIVIRAL",""
"0068","2004876","CENTRAL NERVOUS SYST",""
"0068","2004878","UPSA",""
"0072","2005060","Man. Eq. Pool",""
"0072","2005061","Man. Labour Pool",""
"0072","2005062","Manufacturing Admin",""
"0072","2005064","Facilities",""
"0072","2005065","Eng.-Maintenance",""
"0072","2005066","Plant Engineering",""
"0072","2005067","Util.-Gen. Utilities",""
"0072","2005068","Util.-Elec. Power",""
"0072","2005069","Utilities-HQPW",""
"0072","2005070","Util.-City Water",""
"0072","2005072","Util.-St. Boil & Dis",""
"0072","2005073","Utilities-Nitrogen",""
"0072","2005074","Utilities-Fuel",""
"0072","2005075","Technical Services",""
"0072","2005076","Tec. Serv.-Incin.",""
"0072","2005077","Tec. Ser.-WWTP",""
"0072","2005078","Tec. Serv.-Was. Man",""
"0072","2005079","Tec. Serv.-Sol. Rec",""
"0072","2005080","EHS",""
"0072","2005081","Quality Control",""
"0072","2005082","Quality Assurance",""
"0072","2005084","Validation",""
"0072","2005085","Materials-Warehouse",""
"0072","2005086","Materials-Planning",""
"0072","2005087","MT Control/Chemistry",""
"0072","2005088","HQ Allocations",""
"0111","2005089","Line 8 Blister Packa",""
"0111","2005090","Line 9 Blister Packa",""
"0062","2005095","Pharmaceutical Opera",""
"0072","2005098","Sub Cont. Cruiserath",""
"0115","2005100","DIVERS GAS MOP ADMIN",""
"0115","2005101","Préleveurs CQ",""
"0115","2005102","METHODES&QUALIF. IND",""
"0115","2005103"," EAUX PURIFIEES GUY",""
"0115","2005104","PELLICULAGE TURB. 2",""
"0064","2005105","Utilies and Logisti",""
"0064","2005107","Utilies and Logisti",""
"0064","2005108","Maintenance Adm",""
"0064","2005109","EHS",""
"0064","2005110","Sourcing",""
"0064","2005111","Production Services",""
"0064","2005112","Prod Planning",""
"0064","2005113","Warehouse",""
"0064","2005114","Continuous Improvmn",""
"0064","2005115","Occupancy",""
"0064","2005116","Knowledge Management",""
"0064","2005118","Reg. Compensation",""
"0064","2005119","QC ADMINISTRATION",""
"0064","2005120","QA/Prod Release",""
"0064","2005121","Microbiology Labora",""
"0064","2005122","QC Sampling",""
"0064","2005123","QC Chemistry Lab (AP",""
"0064","2005124","QC Chemistry Lab RM",""
"0064","2005128","QC Chemistry Lab DP",""
"0064","2005130","Cooling Towers",""
"0064","2005131","Utilities-Electric",""
"0064","2005132","Utilities-Steam",""
"0064","2005133","Utilities-Comp Air",""
"0064","2005134","Utilities-Water",""
"0064","2005135","Utilities-Processed",""
"0115","2005140","TRANSFERT PSO-94F",""
"0062","2005142","VISUAL INSPECTION",""
"0115","2005149","GA2 MOID",""
"0072","2005150","T.Serv. Tank Farm",""
"0064","2005151","B6-Tablets Printing",""
"0052","2005154","SC Sweden Plant 1550",""
"0072","2005158","IM AUTOMATION",""
"0072","2005159","TECHNICAL SERVICES",""
"0072","2005160","AUTOMATION SERVICES",""
"0454","2005177","OS Facilities Maint.",""
"0035","2005231","Pharm. QC Gen.",""
"0111","2005245","MTO Pharm Packaging",""
"0111","2005264","MTO Pharm Bottle Lab",""
"0115","2005302","PACK LINE 28-GAS",""
"0115","2005303","PACK BLISTER LINE 4",""
"0111","2005304","High Potency/Liquid",""
"0111","2005305","HPC Labor Pool",""
"0111","2005306","HPC Liquid Weigh Roo",""
"0111","2005307","HPC Granulation",""
"0111","2005308","HPC Blend",""
"0111","2005309","HPC Tableting",""
"0111","2005310","HPC Coating",""
"0057","2005311","Subcontract-1597",""
"0072","2005336","SECURITY (BMSC)",""
"0072","2005337","OCC. HEALTH DEPT.",""
"0020","2005344","GMS Software Amortiz",""
"0062","2005345","MANUFACT SUPPORT",""
"0111","2005350","ITO Startup Expendit",""
"0020","2005352","WCNJ SITE ENVIRONMEN",""
"0111","2005364","Global Quality Mngmt",""
"0454","2005370","Operations Support",""
"0454","2005394","Engineering Autom.",""
"0072","2005405","MT Administration",""
"0072","2005406","MT Process Chemistry",""
"0072","2005407","MT Proc. Engineering",""
"0072","2005408","QC/QA/MT",""
"0072","2005409","P4A EQUIPMENT POOL",""
"0072","2005411","P7 EQUIPMENT POOL",""
"0072","2005412","P9 EQUIPMENT POOL",""
"0072","2005413","SSP LABOUR POOL",""
"0064","2005448","Analytical Dev & Lab",""
"0062","2005451","MARCHESINI BLISTER L",""
"0434","2005468","STERILE PREPARATION-",""
"0434","2005469","ST POWDER BLEND&FILL",""
"0434","2005470","ST LIQUID FILLING",""
"0434","2005474","PACKAGING-NO.1 BLD",""
"0434","2005475","PACKAGING-NO.1 BLD",""
"0434","2005476","AF QUALITY CONTROL",""
"0434","2005478","MFG INDIRECT LABOR",""
"0434","2005479","AF PACKAGING LABOR P",""
"0434","2005480","STERILE PREPARATN-NO",""
"0434","2005481","ST POWDER FILLING-NO",""
"0434","2005482","ST LIQUID FILLING-NO",""
"0434","2005484","NON-ST TABLET MAKING",""
"0434","2005486","PACKAGING-NO.2 BLD",""
"0434","2005487","PACKAGING-NO.2 BLD",""
"0434","2005488","PACKAGING-NO.1 BLD(I",""
"0434","2005489","PACKAGING-NO.2 BLD(I",""
"0434","2005490","STERILE PREPARATION-",""
"0434","2005491","STERILE FILLING-ANTI",""
"0434","2005492","PACKAGING-ANTITUMO",""
"0434","2005493","AF WAREHOUSING",""
"0434","2005494","MATERIAL MANAGEMENT",""
"0434","2005495","AF GENERAL ADMINISTR",""
"0434","2005497","AF TECHNOLOGY SERVIC",""
"0434","2005498","AF ELECTRICITY",""
"0434","2005499","AF WATER-PROCESS",""
"0434","2005500","AF AIR-COMPRESSED",""
"0434","2005501","AF STEAM",""
"0434","2005502","AF AIR-CONDITIONING",""
"0434","2005503","AF MAINTENANCE & SER",""
"0434","2005504","AF OCCUPANCY",""
"0434","2005505","AF DISTILLED WATER",""
"0434","2005506","BPYK-INVENTORY",""
"0434","2005519","AF ELECTRICITY-DUMMY",""
"0434","2005520","AF AIR-COND.-DUMMY",""
"0454","2005527","Analytical Developme",""
"0064","2005540","Operations Accountin",""
"0064","2005541","General Accounting",""
"0064","2005548","Human Resources",""
"0064","2005549","Plant Management",""
"0064","2005550","Infirmary",""
"0064","2005551","Engineering",""
"0434","2005553","PACKAGING(2)-DUMMY",""
"0434","2005554","PACKAGING(3)-DUMMY",""
"0434","2005555","QC/QA-DUMMY",""
"0434","2005556","FOR OVERHEAD COST",""
"0115","2005573","QC-EMEA/Pac Rim",""
"0105","2005574","BIOTECH ADMINISTRATI",""
"0105","2005575","Cell Culture Labor",""
"0105","2005576","Purification Labor",""
"0105","2005577","BIOTECH CELL CULTUR",""
"0105","2005578","BIOTECH PURIFICATION",""
"0105","2005579","BIOLOGICS FACILITIES",""
"0105","2005580","South Suite Equip",""
"0105","2005581","Buffer Prep",""
"0105","2005582","SYRACUSE COMMERCIAL",""
"0511","2005598","MOD MFG TABLETING",""
"0511","2005599","MOD MFG DRYING",""
"0511","2005600","MAINTENANCE",""
"0511","2005601","MOD FARMACY",""
"0511","2005602","QUALITY CONTROL",""
"0511","2005603","PLANT DIRECTION",""
"0511","2005604","ENGINEERING IN PLANT",""
"0511","2005605","MOD MFG RECUBRIM",""
"0511","2005606","WAREHOUSE RAW MAT.",""
"0511","2005607","PLANNING",""
"0511","2005610","IMP FINISHED GOOD DC",""
"0511","2005611","PHARMACEUTICAL TECHN",""
"0511","2005612","MOD PACK BOTTLES & S",""
"0511","2005613","VALIDATION QUALITY",""
"0511","2005614","EXPORTS",""
"0511","2005615","MOD MFG MIXED",""
"0511","2005616","MOD MFG GRANULATION",""
"0511","2005617","MOD PACK BLISTER",""
"0511","2005618","MOD MFGC PICOT",""
"0511","2005619","MOD PACK PICOT",""
"0511","2005620","QUALITY CONTROL DIR",""
"0511","2005621","WAREHOUSE FINISHED G",""
