UTF-8
WBS Element,Short Description,Parent ID,Parent Description,Company Code,Currency,Start Date,End Date,Available Budget,Total Budget
"WR0581-160003","Sprycel- MR- LTD IMS Patients Tracking","1900000000000002916320","Market Research","0581","EUR","01/01/2016","12/31/2016",854.00,55000.00
"W50581-160007","Sprycel- A&P- Sprycel 10 years programme","1900000000000002916120","A&P","0581","EUR","01/01/2016","12/31/2016",210750.42,504000.00
"W50581-160009","Sprycel- A&P- Printing & Production","1900000000000002916120","A&P","0581","EUR","01/01/2016","12/31/2016",210750.42,504000.00
"W50581-160010","Sprycel- A&P- STACI (frais de stockage)","1900000000000002916120","A&P","0581","EUR","01/01/2016","12/31/2016",210750.42,504000.00
"W50581-160011","Sprycel- A&P- Sales Force","1900000000000002916120","A&P","0581","EUR","01/01/2016","12/31/2016",210750.42,504000.00
"WF0581-160018","Sprycel- RRE- OM- Echanges Frontaliers","1900000000000002917320","Other Marketing","0581","EUR","01/01/2016","12/31/2016",158229.56,318000.00
"WF0581-160019","Sprycel- RRE- OM- HematoSem","1900000000000002917320","Other Marketing","0581","EUR","01/01/2016","12/31/2016",158229.56,318000.00
"WF0581-160021","Sprycel- RRE- OM- HEM Regional Programme","1900000000000002917320","Other Marketing","0581","EUR","01/01/2016","12/31/2016",158229.56,318000.00
"WF0581-160022","Sprycel- RRE- OM- Accompagnement Patient","1900000000000002917320","Other Marketing","0581","EUR","01/01/2016","12/31/2016",158229.56,318000.00
"WF0581-160023","Sprycel- RRE- OM- FiLMC","1900000000000002917320","Other Marketing","0581","EUR","01/01/2016","12/31/2016",158229.56,318000.00
"WF0581-160024","Sprycel- RRE- OM- IECML","1900000000000002917320","Other Marketing","0581","EUR","01/01/2016","12/31/2016",158229.56,318000.00
"WF0581-160026","RE Reyataz - Women for Women","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160027","RE Reyataz - Rencontres régionales","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160028","RE Reyataz - Projets locaux","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160029","RE Reyataz - BAO femme E. Gourmet","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160030","RE Reyataz - SPILF","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160031","RE Reyataz - SFLS","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160032","RE Daklinza - AASLD","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160033","RE Daklinza - EASL","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160034","RE Daklinza - Campus Hépato","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160035","RE Daklinza - 10e Séminaire (Hépatoday)","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160036","RE Daklinza - Rencontres régionales","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160037","RE Daklinza - Compliance program : E Gou","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160038","RE Daklinza - Hépato kit","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"WF0581-160039","Colloque national","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"WF0581-160040","Autres colloques","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"WF0581-160041","Campus Rhumato","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"WF0581-160042","Les mornings Rhumato","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"WF0581-160043","Programme infirmière","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"V40044-160004","diverse Projekte POs vor Nov 2015","1900000000000002931320","Medical Publications","0044","EUR","01/01/2016","12/31/2016",8597.84,100000.00
"W50020-160003","Nulojix 2016 Promo Programs (Vendor)","1900000000000002811520","A&P","0020","USD","01/01/2016","12/31/2016",150470.81,550000.00
"W50020-160004","Eliquis (BMS) 2016 Promo Programs-Vendor","1900000000000002763320","A&P","0020","USD","01/01/2016","12/31/2016",9150317.31,20750000.00
"W50062-160001","Opdivo Stand Alone MELANOMA","1900000000000002792620","A&P","0062","EUR","01/01/2016","12/31/2016",1274560.17,3468032.90
"W50062-160002","Opdivo Stand Alone LUNG","1900000000000002792620","A&P","0062","EUR","01/01/2016","12/31/2016",1274560.17,3468032.90
"WF0062-160002","Eliquis BackToTheFuture-Bologna Gen'15","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"W50020-160005","Daklinza 2016 Promo Programs (Vendor)","1900000000000002812120","A&P","0020","USD","01/01/2016","12/31/2016",1518283.27,3500000.00
"W50020-160006","Efavirenz 2016 Promo Programs (Vendor)","1900000000000002811420","A&P","0020","USD","01/01/2016","12/31/2016",420553.96,475000.00
"W50020-160007","Evotaz 2016 Promo Programs (Vendor)","1900000000000002811020","A&P","0020","USD","01/01/2016","12/31/2016",21915.64,200000.00
"V40044-160005","I-O Academy Lung Cancer","1900000000000002951320","Medical Publications","0044","EUR","01/01/2016","12/31/2016",64971.38,150000.00
"V40044-160006","Field Medical Activities","1900000000000002951320","Medical Publications","0044","EUR","01/01/2016","12/31/2016",64971.38,150000.00
"W50062-160003","Orencia Reprints","1900000000000002793720","A&P","0062","EUR","01/01/2016","12/31/2016",347903.88,599903.93
"V40405-160002","ASCO GU","1900000000000002678120","Medical Publications & Other Medical Aff","0405","DKK","01/01/2016","12/31/2016",255472.47,725000.00
"W50020-160008","Sprycel 2016 Promo Programs (Vendor)","1900000000000002804920","A&P","0020","USD","01/01/2016","12/31/2016",301523.99,1772500.00
"W50101-160001","EULAR 2016 London, UK","1900000000000002670420","A&P","0101","EUR","01/01/2016","12/31/2016",115531.65,322845.00
"W50101-160002","Preceptorship Leiden, Netherlands","1900000000000002670420","A&P","0101","EUR","01/01/2016","12/31/2016",115531.65,322845.00
"W50101-160003","SCR 2016 Reykjavik, Iceland","1900000000000002670420","A&P","0101","EUR","01/01/2016","12/31/2016",115531.65,322845.00
"W50101-160004","SRY Jan 2016, Helsinki","1900000000000002670420","A&P","0101","EUR","01/01/2016","12/31/2016",115531.65,322845.00
"WF0062-160003","Dacla Local Plurisponsor","1900000000000002779820","Other Marketing","0062","EUR","01/01/2016","12/31/2016",685419.01,1526255.40
"W50062-160005","Eliquis NOAC 360 Stand Alone Feb16","1900000000000002789220","A&P","0062","EUR","01/01/2016","12/31/2016",146474.52,963027.21
"W50062-160006","Opdivo ELCC congress-Ginevra Apr16","1900000000000002792620","A&P","0062","EUR","01/01/2016","12/31/2016",1274560.17,3468032.90
"WF0062-160004","Dacla AISF Rome February","1900000000000002779820","Other Marketing","0062","EUR","01/01/2016","12/31/2016",685419.01,1526255.40
"WF0062-160005","Dacla CROI - Boston Feb16","1900000000000002779820","Other Marketing","0062","EUR","01/01/2016","12/31/2016",685419.01,1526255.40
"W50062-160007","Dacla APASL - Tokyo Feb16","1900000000000002779520","A&P","0062","EUR","01/01/2016","12/31/2016",1291178.64,1812244.60
"W50062-160008","Dacla EASL - Barcellona Apr16","1900000000000002779520","A&P","0062","EUR","01/01/2016","12/31/2016",1291178.64,1812244.60
"WF0062-160006","Reyataz Intercorti","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"WF0062-160007","Nivo Calend.Infusion.Specializzato'16","1900000000000002792920","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1579190.22,2960530.10
"WF0062-160008","Reyataz ECM Local Plurisponsor/Meet the","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"WF0062-160009","Reyataz evento Semplificazione Mazzotta","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"WF0062-160010","Reyataz PK Torino Di Perri","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"W50405-160001","CROI 2016 Boston","1900000000000002695620","A&P","0405","DKK","01/01/2016","12/31/2016",5997.09,293281.99
"W50405-160002","PHC Congres Paris","1900000000000002633820","A&P","0405","DKK","01/01/2016","12/31/2016",805381.32,1363754.00
"W50405-160003","DSI BOOTH Young HCP´s","1900000000000002633820","A&P","0405","DKK","01/01/2016","12/31/2016",805381.32,1363754.00
"WF0062-160011","Opdivo NESPOLA - Milano Gen16","1900000000000002792920","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1579190.22,2960530.10
"WF0062-160012","Dacla Local monosponsor","1900000000000002779820","Other Marketing","0062","EUR","01/01/2016","12/31/2016",685419.01,1526255.40
"WF0062-160013","Dacla ECM regional cascade","1900000000000002779820","Other Marketing","0062","EUR","01/01/2016","12/31/2016",685419.01,1526255.40
"WF0062-160014","Baraclude Expert Meet.Differenz.Rene-Oss","1900000000000002772420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",93349.03,956253.00
"WF0062-160015","Baraclude Local Plurisponsor","1900000000000002772420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",93349.03,956253.00
"WF0062-160016","Baraclude Local Monosponsor","1900000000000002772420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",93349.03,956253.00
"WF0062-160017","Reyataz ECM Local Monosponsor","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"WF0062-160018","Reyataz Eventi DUAL","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"W50062-160010","Opdivo ASCO Congr. Chicago Jun16","1900000000000002792620","A&P","0062","EUR","01/01/2016","12/31/2016",1274560.17,3468032.90
"WF0062-160019","Sprycel CentroNord ECM Territoriali","1900000000000002800520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",94218.09,306736.00
"WF0062-160020","Sprycel CentroSud ECM territoriali","1900000000000002800520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",94218.09,306736.00
"W50062-160011","Reyataz Versatile Open Source","1900000000000002798120","A&P","0062","EUR","01/01/2016","12/31/2016",264705.98,804449.45
"W50062-160012","Reyataz Proj PK di Perri x evotaz","1900000000000002798120","A&P","0062","EUR","01/01/2016","12/31/2016",264705.98,804449.45
"W50062-160013","Reyataz JMB Publ. Dual/Late Pres/Resist","1900000000000002798120","A&P","0062","EUR","01/01/2016","12/31/2016",264705.98,804449.45
"W50062-160017","Reyataz Readfiles & other","1900000000000002798120","A&P","0062","EUR","01/01/2016","12/31/2016",264705.98,804449.45
"W50062-160018","Reyataz C1-C2 2016 campaign","1900000000000002798120","A&P","0062","EUR","01/01/2016","12/31/2016",264705.98,804449.45
"WF0062-160023","Reyataz Tinelli Lodi / Pandora","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"WF0062-160024","Reyataz HIV Inflam Milano D'Arminio/IMP","1900000000000002798420","Other Marketing","0062","EUR","01/01/2016","12/31/2016",489263.81,1115700.88
"WF0062-160025","Eliquis SF Local Funds Badolato","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160026","Eliquis SF Local Funds Benvenuti","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160029","Eliquis SF Local Funds D'Acunzi","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160030","Eliquis SF Local Funds Fasoli","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160031","Eliquis SF Local Funds Freschi","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160032","Eliquis SF Local Funds Soligno","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160033","Eliquis SF Local Funds Taborgna","1900000000000002789520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",1308925.43,2366972.79
"WF0062-160034","Orencia CME NORD 2016","1900000000000002794020","Other Marketing","0062","EUR","01/01/2016","12/31/2016",917016.56,3346136.07
"WF0062-160035","Orencia CME CENTRO 2016","1900000000000002794020","Other Marketing","0062","EUR","01/01/2016","12/31/2016",917016.56,3346136.07
"WF0062-160036","Orencia CME SUD 2016","1900000000000002794020","Other Marketing","0062","EUR","01/01/2016","12/31/2016",917016.56,3346136.07
"V40062-160001","Orencia Experiencia 2016","1900000000000002794720","Medical Publications","0062","EUR","01/01/2016","12/31/2016",162078.60,212000.00
"W50062-160019","Sprycel Stand Alone 10 anni","1900000000000002800220","A&P","0062","EUR","01/01/2016","12/31/2016",376481.05,908097.50
"W50581-160012","RP terrain Orencia 2016","1900000000000002966220","A&P","0581","EUR","01/01/2016","12/31/2016",224937.17,431320.00
"WF0581-160044","RE Reyataz - Toutes positives","1900000000000002924020","Other Marketing","0581","EUR","01/01/2016","12/31/2016",18999.12,235000.00
"WF0581-160045","RE Daklinza - Programme co-infection","1900000000000002925220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",248686.68,578000.00
"V40052-160003","Partnering for Cure in Virology","1900000000000002675820","Medical Publications & Other Medical Aff","0052","SEK","01/01/2016","12/31/2016",397908.92,1867624.00
"W50581-160013","PR Terrain Région 1","1900000000000002925120","A&P","0581","EUR","01/01/2016","12/31/2016",78238.29,142600.00
"W50581-160014","PR Terrain Région 2","1900000000000002925120","A&P","0581","EUR","01/01/2016","12/31/2016",78238.29,142600.00
"W50581-160015","PR Terrain Région 3","1900000000000002925120","A&P","0581","EUR","01/01/2016","12/31/2016",78238.29,142600.00
"W50581-160016","RP Terrain Région 4","1900000000000002925120","A&P","0581","EUR","01/01/2016","12/31/2016",78238.29,142600.00
"W50581-160017","RP Terrain Région 1","1900000000000002923920","A&P","0581","EUR","01/01/2016","12/31/2016",116607.62,202615.00
"W50581-160018","RP Terrain Région 2","1900000000000002923920","A&P","0581","EUR","01/01/2016","12/31/2016",116607.62,202615.00
"W50581-160019","RP Terrain Région 3","1900000000000002923920","A&P","0581","EUR","01/01/2016","12/31/2016",116607.62,202615.00
"W50581-160020","RP Terrain Région 4","1900000000000002923920","A&P","0581","EUR","01/01/2016","12/31/2016",116607.62,202615.00
"WF0581-160046","DAMAL NSCLC NON SQUAMOUS HTA&PRICING","1900000000000002919520","Other Marketing","0581","EUR","01/01/2016","12/31/2016",163219.96,370000.00
"V40062-160002","MOJP Elotuz Pathology Brochure IO","1900000000000002792420","Medical Publications","0062","EUR","01/01/2016","12/31/2016",335004.52,506500.00
"WF0062-160037","Sprycel Post ASH Genova","1900000000000002800520","Other Marketing","0062","EUR","01/01/2016","12/31/2016",94218.09,306736.00
"W50052-160002","Fokusgrupp 2","1900000000000002672420","A&P","0052","SEK","01/01/2016","12/31/2016",1769386.13,2830800.00
"W50052-160003","Honorarium fokusgrupp 2","1900000000000002672420","A&P","0052","SEK","01/01/2016","12/31/2016",1769386.13,2830800.00
"V40581-160001","Invitations Congrès ASCO GU","1900000000000002930820","Medical Publications","0581","EUR","01/01/2016","12/31/2016",2283546.05,2687904.00
"W50052-160004","Empliciti Annons Oss Hematologer Emellan","1900000000000002622120","A&P","0052","SEK","01/01/2016","12/31/2016",187944.40,432000.00
"W50052-160005","SPRYCEL Annons Oss Hematologer Emellan","1900000000000002620720","A&P","0052","SEK","01/01/2016","12/31/2016",201617.39,710000.00
"W50035-160002","Sprycel SF Field Funds","1900000000000002767820","A&P","0035","CAD","01/01/2016","12/31/2016",85562.96,316928.12
"W50035-160003","Field Funds","1900000000000002765820","A&P","0035","CAD","01/01/2016","12/31/2016",337429.26,864970.39
"W50035-160004","Field Funds - KAMs","1900000000000002765820","A&P","0035","CAD","01/01/2016","12/31/2016",337429.26,864970.39
"V40044-160007","Autoimmun-Kongress Leipzig","1900000000000002653420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",53291.26,222000.00
"WF0581-160047","DAMAL - Melanoma HTA&Princing","1900000000000002919520","Other Marketing","0581","EUR","01/01/2016","12/31/2016",163219.96,370000.00
