ID,OWNERID,ISDELETED,NAME,BMS_CODE_BMS_EMEA__C,CCV_CODE_BMS_EMEA__C,COUNTRY_BMS_EMEA__C,DESCRIPTION_BMS_EMEA__C,LANGUAGE_BMS_EMEA__C,SHORT_LABEL_BMS_EMEA__C,SPECIALTY_TYPE_BMS_EMEA__C,EXTERNAL_ID_BMS_EMEA__C
a3Td0000000CXBVEA4,005d0000002bfc8AAA,FALSE,Dermatology (GB),SP.WUK.16,,GB,Dermatology,English - United Kingdom,Dermatology,,GB__EN-GB__SP.WUK.16
a3Td0000000CXBYEA4,005d0000002bfc8AAA,FALSE,Psychology (GB),SP.WUK.1B,,GB,Psychology,English - United Kingdom,Psychology,,GB__EN-GB__SP.WUK.1B
a3Td0000000CXBZEA4,005d0000002bfc8AAA,FALSE,Hospital Laboratory (GB),SP.WUK.1D,,GB,Hospital Laboratory,English - United Kingdom,Hospital Laboratory,,GB__EN-GB__SP.WUK.1D
a3Td0000000CXBcEAO,005d0000002bfc8AAA,FALSE,Physiology (GB),SP.WUK.1N,,GB,Physiology,English - United Kingdom,Physiology,,GB__EN-GB__SP.WUK.1N
a3Td0000000CXBeEAO,005d0000002bfc8AAA,FALSE,Epilepsy (GB),SP.WUK.1Z,,GB,Epilepsy,English - United Kingdom,Epilepsy,,GB__EN-GB__SP.WUK.1Z
a3Td0000000CXBgEAO,005d0000002bfc8AAA,FALSE,Pharmacy (GB),SP.WUK.20,,GB,Pharmacy,English - United Kingdom,Pharmacy,,GB__EN-GB__SP.WUK.20
a3Td0000000CXBiEAO,005d0000002bfc8AAA,FALSE,Care of the Elderly (GB),SP.WUK.21,,GB,Care of the Elderly,English - United Kingdom,Care of the Elderly,,GB__EN-GB__SP.WUK.21
a3Td0000000CXBkEAO,005d0000002bfc8AAA,FALSE,Haematology (GB),SP.WUK.22,,GB,Haematology,English - United Kingdom,Haematology,,GB__EN-GB__SP.WUK.22
a3Td0000000CXBmEAO,005d0000002bfc8AAA,FALSE,Allergy (GB),SP.WUK.24,,GB,Allergy,English - United Kingdom,Allergy,,GB__EN-GB__SP.WUK.24
a3Td0000000CXBoEAO,005d0000002bfc8AAA,FALSE,Sports Medicine (GB),SP.WUK.26,,GB,Sports Medicine,English - United Kingdom,Sports Medicine,,GB__EN-GB__SP.WUK.26
a3Td0000000CXBqEAO,005d0000002bfc8AAA,FALSE,Venereology (GB),SP.WUK.28,,GB,Venereology,English - United Kingdom,Venereology,,GB__EN-GB__SP.WUK.28
a3Td0000000CXBrEAO,005d0000002bfc8AAA,FALSE,Pain Control (GB),SP.WUK.2A,,GB,Pain Control,English - United Kingdom,Pain Control,,GB__EN-GB__SP.WUK.2A
a3Td0000000CXBuEAO,005d0000002bfc8AAA,FALSE,Colorectal Surgery (GB),SP.WUK.2Z,,GB,Colorectal Surgery,English - United Kingdom,Colorectal Surgery,,GB__EN-GB__SP.WUK.2Z
a3Td0000000CXBwEAO,005d0000002bfc8AAA,FALSE,Nuclear Medicine (GB),SP.WUK.31,,GB,Nuclear Medicine,English - United Kingdom,Nuclear Medicine,,GB__EN-GB__SP.WUK.31
a3Td0000000CXByEAO,005d0000002bfc8AAA,FALSE,Occupational Health (GB),SP.WUK.33,,GB,Occupational Health,English - United Kingdom,Occupational Health,,GB__EN-GB__SP.WUK.33
a3Td0000000CXC0EAO,005d0000002bfc8AAA,FALSE,Microbiology (GB),SP.WUK.34,,GB,Microbiology,English - United Kingdom,Microbiology,,GB__EN-GB__SP.WUK.34
a3Td0000000CXC1EAO,005d0000002bfc8AAA,FALSE,Renal Medicine (GB),SP.WUK.35,,GB,Renal Medicine,English - United Kingdom,Renal Medicine,,GB__EN-GB__SP.WUK.35
a3Td0000000CXC4EAO,005d0000002bfc8AAA,FALSE,Respiratory Medicine (GB),SP.WUK.36,,GB,Respiratory Medicine,English - United Kingdom,Respiratory Medicine,,GB__EN-GB__SP.WUK.36
a3Td0000000CXC5EAO,005d0000002bfc8AAA,FALSE,Neurosurgery (GB),SP.WUK.37,,GB,Neurosurgery,English - United Kingdom,Neurosurgery,,GB__EN-GB__SP.WUK.37
a3Td0000000CXC8EAO,005d0000002bfc8AAA,FALSE,Neurology (GB),SP.WUK.39,,GB,Neurology,English - United Kingdom,Neurology,,GB__EN-GB__SP.WUK.39
a3Td0000000CXC9EAO,005d0000002bfc8AAA,FALSE,Neurophysiology (GB),SP.WUK.3A,,GB,Neurophysiology,English - United Kingdom,Neurophysiology,,GB__EN-GB__SP.WUK.3A
a3Td0000000CXCBEA4,005d0000002bfc8AAA,FALSE,Hepatology (GB),SP.WUK.3B,,GB,Hepatology,English - United Kingdom,Hepatology,,GB__EN-GB__SP.WUK.3B
a3Td0000000CXCDEA4,005d0000002bfc8AAA,FALSE,Wholesaler (GB),SP.WUK.3E,,GB,Wholesaler,English - United Kingdom,Wholesaler,,GB__EN-GB__SP.WUK.3E
a3Td0000000CXCGEA4,005d0000002bfc8AAA,FALSE,Podiatry (GB),SP.WUK.3K,,GB,Podiatry,English - United Kingdom,Podiatry,,GB__EN-GB__SP.WUK.3K
a3Td0000000CXCIEA4,005d0000002bfc8AAA,FALSE,Lipidology (GB),SP.WUK.3P,,GB,Lipidology,English - United Kingdom,Lipidology,,GB__EN-GB__SP.WUK.3P
a3Td0000000CXCJEA4,005d0000002bfc8AAA,FALSE,Medical Devices (GB),SP.WUK.3Y,,GB,Medical Devices,English - United Kingdom,Medical Devices,,GB__EN-GB__SP.WUK.3Y
a3Td0000000CXCMEA4,005d0000002bfc8AAA,FALSE,Obstetrics & Gynaecology (GB),SP.WUK.40,,GB,Obstetrics & Gynaecology,English - United Kingdom,Obstetrics & Gynaecology,,GB__EN-GB__SP.WUK.40
a3Td0000000CXCOEA4,005d0000002bfc8AAA,FALSE,Ophthalmology (GB),SP.WUK.41,,GB,Ophthalmology,English - United Kingdom,Ophthalmology,,GB__EN-GB__SP.WUK.41
a3Td0000000CXCQEA4,005d0000002bfc8AAA,FALSE,Oncology (GB),SP.WUK.42,,GB,Oncology,English - United Kingdom,Oncology,,GB__EN-GB__SP.WUK.42
a3Td0000000CXCSEA4,005d0000002bfc8AAA,FALSE,ENT (GB),SP.WUK.43,,GB,ENT,English - United Kingdom,ENT,,GB__EN-GB__SP.WUK.43
a3Td0000000CXCUEA4,005d0000002bfc8AAA,FALSE,Paediatrics (GB),SP.WUK.44,,GB,Paediatrics,English - United Kingdom,Paediatrics,,GB__EN-GB__SP.WUK.44
a3Td0000000CXCWEA4,005d0000002bfc8AAA,FALSE,Adult Psychiatry (GB),SP.WUK.45,,GB,Adult Psychiatry,English - United Kingdom,Adult Psychiatry,,GB__EN-GB__SP.WUK.45
a3Td0000000CXCXEA4,005d0000002bfc8AAA,FALSE,Radiology (GB),SP.WUK.46,,GB,Radiology,English - United Kingdom,Radiology,,GB__EN-GB__SP.WUK.46
a3Td0000000CXCaEAO,005d0000002bfc8AAA,FALSE,Radiotherapy (GB),SP.WUK.47,,GB,Radiotherapy,English - United Kingdom,Radiotherapy,,GB__EN-GB__SP.WUK.47
a3Td0000000CXCbEAO,005d0000002bfc8AAA,FALSE,Rehabilitation (GB),SP.WUK.48,,GB,Rehabilitation,English - United Kingdom,Rehabilitation,,GB__EN-GB__SP.WUK.48
a3Td0000000CXCdEAO,005d0000002bfc8AAA,FALSE,Rheumatology (GB),SP.WUK.49,,GB,Rheumatology,English - United Kingdom,Rheumatology,,GB__EN-GB__SP.WUK.49
a3Td0000000CXCgEAO,005d0000002bfc8AAA,FALSE,General Medicine (GB),SP.WUK.4M,,GB,General Medicine,English - United Kingdom,General Medicine,,GB__EN-GB__SP.WUK.4M
a3Td0000000CXChEAO,005d0000002bfc8AAA,FALSE,Urology (GB),SP.WUK.51,,GB,Urology,English - United Kingdom,Urology,,GB__EN-GB__SP.WUK.51
a3Td0000000CXCjEAO,005d0000002bfc8AAA,FALSE,Orthopaedics (GB),SP.WUK.53,,GB,Orthopaedics,English - United Kingdom,Orthopaedics,,GB__EN-GB__SP.WUK.53
a3Td0000000CXClEAO,005d0000002bfc8AAA,FALSE,Tropical Medicine (GB),SP.WUK.54,,GB,Tropical Medicine,English - United Kingdom,Tropical Medicine,,GB__EN-GB__SP.WUK.54
a3Td0000000CXCnEAO,005d0000002bfc8AAA,FALSE,Accident & Emergency (GB),SP.WUK.55,,GB,Accident & Emergency,English - United Kingdom,Accident & Emergency,,GB__EN-GB__SP.WUK.55
a3Td0000000CXCpEAO,005d0000002bfc8AAA,FALSE,Physiotherapy (GB),SP.WUK.58,,GB,Physiotherapy,English - United Kingdom,Physiotherapy,,GB__EN-GB__SP.WUK.58
a3Td0000000CXCrEAO,005d0000002bfc8AAA,FALSE,Practice & Community Nurse (GB),SP.WUK.5C,,GB,Practice & Community Nurse,English - United Kingdom,Practice & Community Nurse,,GB__EN-GB__SP.WUK.5C
a3Td0000000CXCuEAO,005d0000002bfc8AAA,FALSE,Maternity (GB),SP.WUK.61,,GB,Maternity,English - United Kingdom,Maternity,,GB__EN-GB__SP.WUK.61
a3Td0000000CXCwEAO,005d0000002bfc8AAA,FALSE,Neonatology (GB),SP.WUK.62,,GB,Neonatology,English - United Kingdom,Neonatology,,GB__EN-GB__SP.WUK.62
a3Td0000000CXCyEAO,005d0000002bfc8AAA,FALSE,Child & Adolescent Psychiatry (GB),SP.WUK.69,,GB,Child & Adolescent Psychiatry,English - United Kingdom,Child & Adolescent Psychiatry,,GB__EN-GB__SP.WUK.69
a3Td0000000CXD0EAO,005d0000002bfc8AAA,FALSE,Metabolic Medicine (GB),SP.WUK.6C,,GB,Metabolic Medicine,English - United Kingdom,Metabolic Medicine,,GB__EN-GB__SP.WUK.6C
a3Td0000000CXD2EAO,005d0000002bfc8AAA,FALSE,Transplant Surgery (GB),SP.WUK.6D,,GB,Transplant Surgery,English - United Kingdom,Transplant Surgery,,GB__EN-GB__SP.WUK.6D
a3Td0000000CXD4EAO,005d0000002bfc8AAA,FALSE,Clinical Pharmacology (GB),SP.WUK.6F,,GB,Clinical Pharmacology,English - United Kingdom,Clinical Pharmacology,,GB__EN-GB__SP.WUK.6F
a3Td0000000CXD6EAO,005d0000002bfc8AAA,FALSE,Hospital Nurse (GB),SP.WUK.6T,,GB,Hospital Nurse,English - United Kingdom,Hospital Nurse,,GB__EN-GB__SP.WUK.6T
a3Td0000000CXD8EAO,005d0000002bfc8AAA,FALSE,Tertiary Care Nurse (GB),SP.WUK.6U,,GB,Tertiary Care Nurse,English - United Kingdom,Tertiary Care Nurse,,GB__EN-GB__SP.WUK.6U
a3Td0000000CXDAEA4,005d0000002bfc8AAA,FALSE,Palliative Medicine (GB),SP.WUK.6X,,GB,Palliative Medicine,English - United Kingdom,Palliative Medicine,,GB__EN-GB__SP.WUK.6X
a3Td0000000CXDCEA4,005d0000002bfc8AAA,FALSE,Public Health Medicine (GB),SP.WUK.71,,GB,Public Health Medicine,English - United Kingdom,Public Health Medicine,,GB__EN-GB__SP.WUK.71
a3Td0000000CXDEEA4,005d0000002bfc8AAA,FALSE,Infectious Diseases (GB),SP.WUK.74,,GB,Infectious Diseases,English - United Kingdom,Infectious Diseases,,GB__EN-GB__SP.WUK.74
a3Td0000000CXDGEA4,005d0000002bfc8AAA,FALSE,Dentistry (GB),SP.WUK.75,,GB,Dentistry,English - United Kingdom,Dentistry,,GB__EN-GB__SP.WUK.75
a3Td0000000CXDIEA4,005d0000002bfc8AAA,FALSE,Intensive Care (GB),SP.WUK.77,,GB,Intensive Care,English - United Kingdom,Intensive Care,,GB__EN-GB__SP.WUK.77
a3Td0000000CXDJEA4,005d0000002bfc8AAA,FALSE,Pathology (GB),SP.WUK.7B,,GB,Pathology,English - United Kingdom,Pathology,,GB__EN-GB__SP.WUK.7B
a3Td0000000CXDMEA4,005d0000002bfc8AAA,FALSE,Virology (GB),SP.WUK.7D,,GB,Virology,English - United Kingdom,Virology,,GB__EN-GB__SP.WUK.7D
a3Td0000000CXDNEA4,005d0000002bfc8AAA,FALSE,Histopathology (GB),SP.WUK.7E,,GB,Histopathology,English - United Kingdom,Histopathology,,GB__EN-GB__SP.WUK.7E
a3Td0000000CXDPEA4,005d0000002bfc8AAA,FALSE,Audiology (GB),SP.WUK.7G,,GB,Audiology,English - United Kingdom,Audiology,,GB__EN-GB__SP.WUK.7G
a3Td0000000CXDSEA4,005d0000002bfc8AAA,FALSE,GU Medicine (GB),SP.WUK.7H,,GB,GU Medicine,English - United Kingdom,GU Medicine,,GB__EN-GB__SP.WUK.7H
a3Td0000000CXDTEA4,005d0000002bfc8AAA,FALSE,Learning Disability (GB),SP.WUK.7R,,GB,Learning Disability,English - United Kingdom,Learning Disability,,GB__EN-GB__SP.WUK.7R
a3Td0000000CXDVEA4,005d0000002bfc8AAA,FALSE,Elderly Psychiatry (GB),SP.WUK.7U,,GB,Elderly Psychiatry,English - United Kingdom,Elderly Psychiatry,,GB__EN-GB__SP.WUK.7U
a3Td0000000CXDXEA4,005d0000002bfc8AAA,FALSE,Oral/Maxillofacial Surgery (GB),SP.WUK.7X,,GB,Oral/Maxillofacial Surgery,English - United Kingdom,Oral/Maxillofacial Surgery,,GB__EN-GB__SP.WUK.7X
a3Td0000000CXDaEAO,005d0000002bfc8AAA,FALSE,Psychotherapy (GB),SP.WUK.7Z,,GB,Psychotherapy,English - United Kingdom,Psychotherapy,,GB__EN-GB__SP.WUK.7Z
a3Td0000000CXDbEAO,005d0000002bfc8AAA,FALSE,Genetics (GB),SP.WUK.81,,GB,Genetics,English - United Kingdom,Genetics,,GB__EN-GB__SP.WUK.81
a3Td0000000CXDeEAO,005d0000002bfc8AAA,FALSE,Aviation Medicine (GB),SP.WUK.83,,GB,Aviation Medicine,English - United Kingdom,Aviation Medicine,,GB__EN-GB__SP.WUK.83
a3Td0000000CXDgEAO,005d0000002bfc8AAA,FALSE,Retail Chemist (GB),SP.WUK.88,,GB,Retail Chemist,English - United Kingdom,Retail Chemist,,GB__EN-GB__SP.WUK.88
a3Td0000000CXDiEAO,005d0000002bfc8AAA,FALSE,Orthodontics (GB),SP.WUK.95,,GB,Orthodontics,English - United Kingdom,Orthodontics,,GB__EN-GB__SP.WUK.95
a3Td0000000CXDjEAO,005d0000002bfc8AAA,FALSE,Dietetics (GB),SP.WUK.96,,GB,Dietetics,English - United Kingdom,Dietetics,,GB__EN-GB__SP.WUK.96
a3Td0000000CXDmEAO,005d0000002bfc8AAA,FALSE,Diabetes & Endocrinology (GB),SP.WUK.97,,GB,Diabetes & Endocrinology,English - United Kingdom,Diabetes & Endocrinology,,GB__EN-GB__SP.WUK.97
a3Td0000000CXDoEAO,005d0000002bfc8AAA,FALSE,General Practice (GB),SP.WUK.99,,GB,General Practice,English - United Kingdom,General Practice,,GB__EN-GB__SP.WUK.99
a3Td0000000CXDqEAO,005d0000002bfc8AAA,FALSE,Healthcare Administration (GB),SP.WUK.9X,,GB,Healthcare Administration,English - United Kingdom,Healthcare Administration,,GB__EN-GB__SP.WUK.9X
a3Td0000000CXDrEAO,005d0000002bfc8AAA,FALSE,Clinical Oncology (GB),SP.WUK.A3,,GB,Clinical Oncology,English - United Kingdom,Clinical Oncology,,GB__EN-GB__SP.WUK.A3
a3Td0000000CXDuEAO,005d0000002bfc8AAA,FALSE,Liaison Psychiatry (GB),SP.WUK.A5,,GB,Liaison Psychiatry,English - United Kingdom,Liaison Psychiatry,,GB__EN-GB__SP.WUK.A5
a3Td0000000CXDvEAO,005d0000002bfc8AAA,FALSE,Immunology (GB),SP.WUK.A7,,GB,Immunology,English - United Kingdom,Immunology,,GB__EN-GB__SP.WUK.A7
a3Td0000000CXDyEAO,005d0000002bfc8AAA,FALSE,Medical Oncology (GB),SP.WUK.A8,,GB,Medical Oncology,English - United Kingdom,Medical Oncology,,GB__EN-GB__SP.WUK.A8
a3Td0000000CXE0EAO,005d0000002bfc8AAA,FALSE,Biomedical Engineering (GB),SP.WUK.BE,,GB,Biomedical Engineering,English - United Kingdom,Biomedical Engineering,,GB__EN-GB__SP.WUK.BE
a3Td0000000CXE2EAO,005d0000002bfc8AAA,FALSE,Asthma (GB),SP.WUK.C3,,GB,Asthma,English - United Kingdom,Asthma,,GB__EN-GB__SP.WUK.C3
a3Td0000000CXE4EAO,005d0000002bfc8AAA,FALSE,Family Planning (GB),SP.WUK.C7,,GB,Family Planning,English - United Kingdom,Family Planning,,GB__EN-GB__SP.WUK.C7
a3Td0000000CXE6EAO,005d0000002bfc8AAA,FALSE,Occupational Therapy (GB),SP.WUK.D2,,GB,Occupational Therapy,English - United Kingdom,Occupational Therapy,,GB__EN-GB__SP.WUK.D2
a3Td0000000CXE8EAO,005d0000002bfc8AAA,FALSE,Speech & Language (GB),SP.WUK.D6,,GB,Speech & Language,English - United Kingdom,Speech & Language,,GB__EN-GB__SP.WUK.D6
a3Td0000000CXE9EAO,005d0000002bfc8AAA,FALSE,Reproductive Medicine (GB),SP.WUK.D7,,GB,Reproductive Medicine,English - United Kingdom,Reproductive Medicine,,GB__EN-GB__SP.WUK.D7
a3Td0000000CXECEA4,005d0000002bfc8AAA,FALSE,Substance Misuse/Addiction (GB),SP.WUK.G6,,GB,Substance Misuse/Addiction,English - United Kingdom,Substance Misuse/Addiction,,GB__EN-GB__SP.WUK.G6
a3Td0000000CXEEEA4,005d0000002bfc8AAA,FALSE,Research (GB),SP.WUK.J4,,GB,Research,English - United Kingdom,Research,,GB__EN-GB__SP.WUK.J4
a3Td0000000CXEGEA4,005d0000002bfc8AAA,FALSE,Forensic Psychiatry (GB),SP.WUK.L1,,GB,Forensic Psychiatry,English - United Kingdom,Forensic Psychiatry,,GB__EN-GB__SP.WUK.L1
a3Td0000000CXEIEA4,005d0000002bfc8AAA,FALSE,Community Medicine (GB),SP.WUK.M5,,GB,Community Medicine,English - United Kingdom,Community Medicine,,GB__EN-GB__SP.WUK.M5
a3Td0000000CXEKEA4,005d0000002bfc8AAA,FALSE,Breast Care (GB),SP.WUK.SG,,GB,Breast Care,English - United Kingdom,Breast Care,,GB__EN-GB__SP.WUK.SG
a3Td0000000CXEMEA4,005d0000002bfc8AAA,FALSE,Theatre (GB),SP.WUK.TH,,GB,Theatre,English - United Kingdom,Theatre,,GB__EN-GB__SP.WUK.TH
a3Td0000000CXEOEA4,005d0000002bfc8AAA,FALSE,Client Specific Specialty (GB),SP.WUK.ZZ,,GB,Client Specific Specialty,English - United Kingdom,Client Specific Specialty,,GB__EN-GB__SP.WUK.ZZ
