"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ADDRESS_LINE_2_VOD__C","ADDRESS_VOD__C","CITY_VOD__C","EXTERNAL_ID_VOD__C","POSTAL_CODE_VOD__C","STATE_PROVINCE_VOD__C","STATUS_VOD__C","FORMATTED_ADDRESS_VOD__C","PHONE_HCPTS__C","COUNTRY_HCPTS__C","LAST_MODIFIED_BY_HCPTS__C","CREATED_BY_HCTPS__C"
"a4mZ00000004h4WIAQ","005d0000002bflUAAQ","false","Sheraton Grand Hotel Esplanade","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Lützowufer 15","Berlin","","10785","","Eligible_vod","Lützowufer 15, Berlin, 10785","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4XIAQ","005d0000002bflUAAQ","false","Steigenberger Hotel Berlin","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Los-Angeles-Platz 1","Berlin","","10789","","Eligible_vod","Los-Angeles-Platz 1, Berlin, 10789","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4YIAQ","005d0000002bflUAAQ","false","Steigenberger am Kanzleramt","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Ella-Trebe-Straße 5","Berlin","","10557","","Eligible_vod","Ella-Trebe-Straße 5, Berlin, 10557","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4ZIAQ","005d0000002bflUAAQ","false","Steigenberger Parkhotel","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Nimes-Str. 2","Braunschweig","","38100","","Eligible_vod","Nimes-Str. 2, Braunschweig, 38100","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4aIAA","005d0000002bflUAAQ","false","Steigenberger Hotel Bremen","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Am Weser-Terminal 6","Bremen","","28217","","Eligible_vod","Am Weser-Terminal 6, Bremen, 28217","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4bIAA","005d0000002bflUAAQ","false","Swissotel Bremen","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Hillmannplatz 20","Bremen","","28195","","Eligible_vod","Hillmannplatz 20, Bremen, 28195","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4cIAA","005d0000002bflUAAQ","false","Lindner Congress Hotel","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Berliner Platz","Cottbus","","3046","","Eligible_vod","Berliner Platz, Cottbus, 3046","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4dIAA","005d0000002bflUAAQ","false","Steigenberger Hotel Deidesheim","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Am Paradiesgarten 1","Deidesheim","","67146","","Eligible_vod","Am Paradiesgarten 1, Deidesheim, 67146","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4eIAA","005d0000002bflUAAQ","false","Steigenberger Hotel Dortmund","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Berswordtstraße 2","Dortmund","","44139","","Eligible_vod","Berswordtstraße 2, Dortmund, 44139","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4fIAA","005d0000002bflUAAQ","false","Steigenberger de Sax","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Neumarkt 9","Dresden","","1067","","Eligible_vod","Neumarkt 9, Dresden, 1067","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4gIAA","005d0000002bflUAAQ","false","Swissotel Düsseldorf Neuss","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Rheinallee 1","Düsseldorf","","41460","","Eligible_vod","Rheinallee 1, Düsseldorf, 41460","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4hIAA","005d0000002bflUAAQ","false","Lindner Congress Hotel","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Lütticher Str. 130","Düsseldorf","","40547","","Eligible_vod","Lütticher Str. 130, Düsseldorf, 40547","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4iIAA","005d0000002bflUAAQ","false","Lindner Airport Düsseldorf","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Unterrather Str. 108","Düsseldorf","","40468","","Eligible_vod","Unterrather Str. 108, Düsseldorf, 40468","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4jIAA","005d0000002bflUAAQ","false","Steigenberger Thüringer Hof","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Karlspl. 11","Eisenach","","99817","","Eligible_vod","Karlspl. 11, Eisenach, 99817","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4kIAA","005d0000002bflUAAQ","false","InterContinental Hotel Frankfurt","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Wilhelm-Leuschner-Straße 43","Frankfurt am Main","","60329","","Eligible_vod","Wilhelm-Leuschner-Straße 43, Frankfurt am Main, 60329","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4lIAA","005d0000002bflUAAQ","false","Lindner Congress Hotel","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Bolongarostraße 100","Frankfurt am Main","","65929","","Eligible_vod","Bolongarostraße 100, Frankfurt am Main, 65929","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4mIAA","005d0000002bflUAAQ","false","Lindner Main Plaza","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Walther-von-Cronberg-Platz 1","Frankfurt am Main","","60594","","Eligible_vod","Walther-von-Cronberg-Platz 1, Frankfurt am Main, 60594","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4nIAA","005d0000002bflUAAQ","false","Steigenberger Airport Frankfurt","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Unterschweinstiege 16","Frankfurt am Main","","60549","","Eligible_vod","Unterschweinstiege 16, Frankfurt am Main, 60549","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4oIAA","005d0000002bflUAAQ","false","Steigenberger Hotel Frankfurt-Langen","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Robert-Bosch-Straße 26","Frankfurt-Langen","","63225","","Eligible_vod","Robert-Bosch-Straße 26, Frankfurt-Langen, 63225","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4pIAA","005d0000002bflUAAQ","false","Lindner Am Michel","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Neanderstraße 20","Hamburg","","20459","","Eligible_vod","Neanderstraße 20, Hamburg, 20459","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4qIAA","005d0000002bflUAAQ","false","Lindner Park-Hotel Hagenbeck","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Hagenbeckstraße 150","Hamburg","","22527","","Eligible_vod","Hagenbeckstraße 150, Hamburg, 22527","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4rIAA","005d0000002bflUAAQ","false","MAXX Hotel Jena","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Stauffenbergstraße 59","Jena","","7747","","Eligible_vod","Stauffenbergstraße 59, Jena, 7747","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4sIAA","005d0000002bflUAAQ","false","Steigenberger Esplanade","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Carl-Zeiss-Platz 4","Jena","","7743","","Eligible_vod","Carl-Zeiss-Platz 4, Jena, 7743","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4tIAA","005d0000002bflUAAQ","false","Steigenberger Conti-Hansa","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Schloßgarten 7","Kiel","","24103","","Eligible_vod","Schloßgarten 7, Kiel, 24103","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4uIAA","005d0000002bflUAAQ","false","Lindner City Plaza Köln","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Magnusstraße 20","Köln","","50672","","Eligible_vod","Magnusstraße 20, Köln, 50672","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4vIAA","005d0000002bflUAAQ","false","Lindner","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Hans-Driesch-Straße 27","Leipzig","","4179","","Eligible_vod","Hans-Driesch-Straße 27, Leipzig, 4179","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4wIAA","005d0000002bflUAAQ","false","Leonardo Royal Hotel Mannheim","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Augustaanlage 4-8","Mannheim","","68165","","Eligible_vod","Augustaanlage 4-8, Mannheim, 68165","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4xIAA","005d0000002bflUAAQ","false","Le Meridien München","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Bayerstraße 41","München","","80335","","Eligible_vod","Bayerstraße 41, München, 80335","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4yIAA","005d0000002bflUAAQ","false","Hilton Airport München","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Terminalstraße Mitte 20","München","","85356","","Eligible_vod","Terminalstraße Mitte 20, München, 85356","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h4zIAA","005d0000002bflUAAQ","false","The Westin Grand Hotel","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Arabellastraße 6","München","","81925","","Eligible_vod","Arabellastraße 6, München, 81925","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h50IAA","005d0000002bflUAAQ","false","Steigenberger Hotel Sanssouci","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Allee nach Sanssouci 1","Potsdam","","14471","","Eligible_vod","Allee nach Sanssouci 1, Potsdam, 14471","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h51IAA","005d0000002bflUAAQ","false","Steigenberger Hotel Sonne","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Alter Markt 2","Rostock","","18055","","Eligible_vod","Alter Markt 2, Rostock, 18055","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h52IAA","005d0000002bflUAAQ","false","Le Meridien Stuttgart","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Willy-Brandt-Straße 30","Stuttgart","","70173","","Eligible_vod","Willy-Brandt-Straße 30, Stuttgart, 70173","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h53IAA","005d0000002bflUAAQ","false","Dorint Hotel Pallas","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Auguste-Viktoria-Straße 15","Wiesbaden","","65185","","Eligible_vod","Auguste-Viktoria-Straße 15, Wiesbaden, 65185","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h54IAA","005d0000002bfc3AAA","false","Airport Conference Center Fraport","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2017-02-11T11:31:28.000Z","true","false","","","","Hugo-Eckener-Ring","Frankfurt am Main","","60547","","Eligible_vod","Hugo-Eckener-Ring, Frankfurt am Main, 60547","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h55IAA","005d0000002bflUAAQ","false","CCB Congress Centrum Bremen","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","Messe Bremen","Findorffstrasse 101","Bremen","","28215","","Eligible_vod","Findorffstrasse 101, Messe Bremen, Bremen, 28215","","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
"a4mZ00000004h56IAA","005d0000002bflUAAQ","false","RAMADA Überseehotel Bremen","","2016-05-17T22:34:01.000Z","005d0000002bflUAAQ","2016-05-26T13:08:46.000Z","005Z0000002r6gSIAQ","2016-07-17T02:25:57.000Z","true","false","","","","Wachtstraße 27-29","Bremen","","28195","","Eligible_vod","Wachtstraße 27-29, Bremen, 28195","+49 421 36010","DE","<a href=""/005Z0000002r6gS"" target=""_blank"">Murugesh Naidu</a>, 5/26/2016","<a href=""/005d0000002bflU"" target=""_blank"">Daniel Pinkert</a>, 5/17/2016"
