"FIELD","PARENTID","PERMISSIONSEDIT","PERMISSIONSREAD","SOBJECTTYPE","ERROR"
"EM_Event_vod__c.Account_Attendee_Fields_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Event_vod__c.Online_Registrant_Count_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Event_vod__c.Online_Registration_Fields_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Metadata_Definition_vod__c.Record_Type_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Metadata_Definition_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Metadata_Translation_vod__c.Record_Type_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Metadata_Translation_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Event_Rule_vod__c.Email_Template_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_Rule_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Event_Rule_vod__c.Online_Registration_Fields_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_Rule_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Topic_Material_vod__c.Email_Template_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Topic_Material_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Medical_Event_vod__c.Account_Attendee_Fields_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Medical_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Medical_Event_vod__c.Description_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Medical_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Medical_Event_vod__c.Location__c","0PS3E0000000FeyWAE","TRUE","TRUE","Medical_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Medical_Event_vod__c.Event_Type__c","0PS3E0000000FeyWAE","TRUE","TRUE","Medical_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
